"Manche de la Coupe de France National 2 Slalom - 22300 Lannion - Finale - 2020-02-23","Finale","2020-02-23","Nationale 2","176"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Amaurie Guilleret","C1D","148.61","292.88","328.36","Finale A"
"Clara Delahaye","C1D","159.33","405.25","425.33","Finale A"
"Emilie Delahaye","C1D","163.47","529.32","462.78","Finale A"
"Margaux Fabijan","C1D","168.5","357.87","508.28","Finale A"
"Margot Perrin","C1D","175.11","475.18","568.07","Finale A"
"Louis Rathier","C1H","114.52","265.85","167.98","Finale A"
"Paul Cascarino","C1H","118.49","258.96","209.02","Finale A"
"Gwenole Noyalet","C1H","119.33","354.91","217.7","Finale A"
"Thomas Launay","C1H","119.51","198.33","219.56","Finale A"
"Samuel Vallienne","C1H","121.1","269.14","235.99","Finale A"
"Benoit Chantry","C1H","122.22","235.86","247.58","Finale A"
"Hugo Regnier","C1H","125.34","289.99","279.83","Finale A"
"Luc Hellard","C1H","125.53","334.21","281.79","Finale A"
"Emeric Bertrand","C1H","127.5","328.57","302.17","Finale A"
"Guillaume Caron","C1H","127.61","343.57","303.3","Finale A"
"Hugo Baillet","C1H","131.87","387.87","347.33","Finale A"
"Hugo Tellier","C1H","132.12","363.86","349.93","Finale A"
"Thierry Derouineau","C1H","132.42","331.6","353.02","Finale A"
"Mathis Poree","C1H","132.76","363.32","356.54","Finale A"
"Alexis Sevrez","C1H","144.29","369.9","475.74","Finale A"
"Fabien Bonvalet","C1H","178.73","381.45","831.79","Finale A"
"Louis Rathier-Titouan Conseil","C2H","149.48","402.7","459.15","Finale A"
"Hugo Tellier-Florian Jumetz","C2H","164.77","582.43","610.04","Finale A"
"Bertrand Avril-Nicolas Dupres","C2H","181.28","602.07","772.96","Finale A"
"Pierre Hellard-Youn Aubry","C2H","332.23","698.99","2262.57","Finale A"
"Nicolas Ducrocq-Tiphaine Duboc","C2M","158.36","422.49","416.56","Finale A"
"Axel Guilleret-Amaurie Guilleret","C2M","166.71","489.07","492.09","Finale A"
"Chloe Gatuingt-Quentin Angot","C2M","227.54","657.34","1042.35","Finale A"
"Alexis Sevrez-Charlotte Chauvey","C2M","248.01","911.31","1227.52","Finale A"
"Romane Regnier","K1D","132.88","251.67","260.53","Finale A"
"Alice Azam","K1D","133.4","300.87","265.52","Finale A"
"Clara Delahaye","K1D","134.72","317.13","278.2","Finale A"
"Margot Perrin","K1D","135.16","288.61","282.43","Finale A"
"Camille Hurez","K1D","136.38","268.17","294.14","Finale A"
"Myriam Le Joncourt","K1D","136.55","340.67","295.78","Finale A"
"Estelle Hellard","K1D","137.95","302.27","309.23","Finale A"
"Margaux Fabijan","K1D","138.22","356.14","311.83","Finale A"
"Adele Charlaigre","K1D","140.17","413.27","330.55","Finale A"
"Manon Le Lay","K1D","140.84","570.51","336.99","Finale A"
"Tifenn Primet","K1D","143.02","748.82","357.93","Finale A"
"Angelique Guilcher","K1D","143.36","271.44","361.2","Finale A"
"Mylene Guilcher","K1D","145.41","420.57","380.89","Finale A"
"Sylviane Quemerais","K1D","147.46","443.88","400.59","Finale A"
"Laurie Beaurepere","K1D","147.6","458.6","401.92","Finale A"
"Nelia Barbosa","K1D","149.28","395.11","418.07","Finale A"
"Coline Regnier","K1D","149.92","455.74","424.22","Finale A"
"Zoe Malval","K1D","150.33","401.63","428.15","Finale A"
"Loan Battistuzzi","K1D","151.47","1009.52","439.1","Finale A"
"Zelie Wendling","K1D","152.16","433.07","445.74","Finale A"
"Clara Grangeon","K1D","162.85","415.79","548.42","Finale A"
"Juliette Derouineau","K1D","164.57","401.38","564.95","Finale A"
"Morgane Quemerais","K1D","193.46","365.14","842.48","Finale A"
"Theo Foucher","K1H","107.38","185.28","149.66","Finale A"
"Thomas Ukalovic","K1H","107.55","155.12","151.51","Finale A"
"Fabien Tournadre","K1H","107.79","207.41","154.11","Finale A"
"Max Derame","K1H","109.32","228.42","170.72","Finale A"
"Joris Hello","K1H","109.71","168.59","174.96","Finale A"
"Sebastien Routhier","K1H","110.31","216.69","181.47","Finale A"
"Lucas Jacob","K1H","110.34","162.89","181.79","Finale A"
"Luc Hellard","K1H","110.58","219.81","184.4","Finale A"
"Loan Queffelec","K1H","110.96","177.81","188.52","Finale A"
"Killian Flegeau","K1H","110.98","207.89","188.74","Finale A"
"Pol Euzenes","K1H","111.07","183.45","189.72","Finale A"
"Benjamin Thiboust","K1H","111.22","188.81","191.35","Finale A"
"Anthony Thuillier","K1H","111.62","230.01","195.69","Finale A"
"Timothee Cornu","K1H","111.83","190.27","197.97","Finale A"
"Christophe Marechal","K1H","112.84","203.25","208.93","Finale A"
"Rafael Lerusse","K1H","113.15","256.78","212.3","Finale A"
"Pierre Hellard","K1H","113.97","274.5","221.2","Finale A"
"Clement Dubois","K1H","115.39","280.4","236.61","Finale A"
"Collin Pouradier","K1H","115.41","267.47","236.83","Finale A"
"GaËtan De Greef","K1H","115.46","235.67","237.37","Finale A"
"Noe Gorvo","K1H","116.32","327.75","246.71","Finale A"
"Ewen Berrest","K1H","116.4","224.46","247.58","Finale A"
"Vincent Laclide","K1H","116.8","280.46","251.92","Finale A"
"Nicolas Ducrocq","K1H","117.18","275.66","256.04","Finale A"
"Remi Vinet","K1H","117.46","249.36","259.08","Finale A"
"Nicolas Rouleaud","K1H","117.72","254.4","261.9","Finale A"
"Thibaud Lacour","K1H","117.83","204.28","263.1","Finale A"
"Gael Prodeau","K1H","118.1","213.12","266.03","Finale A"
"Romain Bruneau","K1H","118.92","152.36","274.93","Finale A"
"Axel Guilleret","K1H","119.05","265.39","276.34","Finale A"
"Jerome Olhagaray","K1H","119.71","231.86","283.51","Finale A"
"Titouan Conseil","K1H","120.64","271.11","293.6","Finale A"
"Benjamin Harreau","K1H","121.08","207.12","298.38","Finale A"
"Antoine Sapin","K1H","121.65","358.22","304.57","Finale A"
