"SELECTIF N2 - Epinal - 2007-04-08","Course 1","2007-04-08","Nationale 2","129"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anthony Colin","C1H","211.73","140","133",""
"Parmentelat Edouard","C1H","212.22","126","136",""
"Parmentelat Cyril","C1H","212.94","143","139",""
"Benjamin Maubert","C1H","213.26","143","140",""
"Nils Mosch","C1H","213.56","182","142",""
"Marc Biazizzo","C1H","214.28","132","146",""
"Mathieu Doby","C1H","215.28","198","151",""
"Louison Tanet","C1H","216.00","143","155",""
"Jan Pischek","C1H","217.80","204","165",""
"Christophe Despres","C1H","218.08","136","166",""
"Cordeil Tristan","C1H","220.34","171","177",""
"Antoine Bizot","C1H","222.68","251","190",""
"Leo Thomas","C1H","224.38","241","199",""
"Jeancharles Reby","C1H","225.43","198","204",""
"Papoz Bastien","C1H","225.81","269","206",""
"Marcantoine Hacquart","C1H","228.06","239","218",""
"Yoann Rebours","C1H","228.55","256","220",""
"Kudla Romain","C1H","229.98","227","228",""
"Yoann Bizot","C1H","231.77","239","237",""
"Sebastien De Kerleau","C1H","233.44","251","246",""
"Geoffroy Schwentzel","C1H","234.71","246","253",""
"Pierrick Maujean","C1H","237.55","205","267",""
"Maxime Cousin","C1H","243.09","249","296",""
"Alexandre Pocard","C1H","268.97","201","431",""
"Gilles Schweitzer-Loic Sieber","C2H","234.31","296","195",""
"Lambert Kevin- Lacour Gregory","C2H","241.90","265","232",""
"Philippe Thevenin-Patrick Thevenin","C2H","250.20","330","274",""
"Teddy Poulard-Jeremy Bretteville","C2H","264.34","292","344",""
"Lea Martin","K1D","214.47","146","68",""
"Oriane Rebours","K1D","225.49","157","121",""
"Marlene Devillez","K1D","225.68","139","122",""
"Andrea De Azevedo","K1D","228.62","162","137",""
"Laura Fauste","K1D","229.71","189","141",""
"Gaelle Tosser-roussey","K1D","233.54","235","160",""
"Flora Bove","K1D","238.39","218","184",""
"Anne Sophie Le Bailly","K1D","238.46","124","184",""
"Sarah Michel","K1D","239.21","206","188",""
"Mylene Renaud","K1D","239.53","319","189",""
"Anne Fischer","K1D","240.60","169","195",""
"Virginie Aubert","K1D","241.12","230","197",""
"Fiora Bourges","K1D","247.32","289","227",""
"Anne Traband","K1D","248.02","280","231",""
"Audrey Astier Perret","K1D","249.32","253","236",""
"Emilie Saguet","K1D","251.35","272","246",""
"Sylvaine Louis","K1D","252.18","287","251",""
"Beuvin Camille","K1D","253.19","199","256",""
"Anais Couturier","K1D","255.24","312","265",""
"Anais Dieterling","K1D","260.87","299","292",""
"Montaine Roumet","K1D","262.38","300","299",""
"Melina Letellier","K1D","265.44","219","315",""
"Marechal Brigitte","K1D","269.38","307","333",""
"Sylvie Metz","K1D","270.35","326","338",""
"Rosalie Kempf","K1D","276.96","354","370",""
"Lea Feuillard","K1D","283.80","277","403",""
"Marine Joslin","K1D","292.29","316","445",""
"Clara Yang-ting","K1D","304.53","263","504",""
"Lucie Beaudet","K1D","306.11","313","511",""
"Yann Gudefin","K1H","192.85","81","85",""
"Emmanuel Walczak","K1H","194.54","111","94",""
"Thomas Rosset","K1H","194.92","94","96",""
"Andy Pajani","K1H","195.24","86","98",""
"Thomas Masuy","K1H","195.29","85","98",""
"Benjamin Travostino","K1H","195.54","89","100",""
"Xavier Jourdain","K1H","196.53","90","105",""
"Jonathan Chapatte","K1H","196.99","134","108",""
"Fabien Tournadre","K1H","197.64","133","111",""
"Benoit Letellier","K1H","197.82","97","112",""
"Julien Daumont","K1H","199.11","129","119",""
"Olivier Machiels","K1H","199.18","122","119",""
"Herve Busson","K1H","200.02","100","124",""
"Jerome Olhagaray","K1H","200.18","122","125",""
"Oswald Besch","K1H","201.15","93","130",""
"Venceslas Viseur","K1H","201.54","87","133",""
"Kevin Schultz","K1H","201.68","129","133",""
"Jeremy Cremonesi","K1H","201.75","137","134",""
"Alexis Caspar","K1H","201.89","124","134",""
"Ronan Lucas","K1H","202.38","100","137",""
"Benjamin Thiboust","K1H","202.60","131","138",""
"Emile Devaux","K1H","202.72","152","138",""
"Bertrand Bercon","K1H","203.21","139","141",""
"Vincent Reiter","K1H","203.32","124","142",""
"Jimy Bercon","K1H","203.37","157","142",""
"Nicolas Abbal","K1H","204.86","171","150",""
"Pierre Baux","K1H","205.09","168","152",""
"Jules Bevalot","K1H","205.18","139","152",""
"Jeremy Vibert","K1H","205.42","179","153",""
"Di Lauro Maxime","K1H","206.09","113","157",""
"Jean Charles Creusot Walter","K1H","206.44","136","159",""
"Arthur Georges","K1H","206.61","170","160",""
"Le Berte Maxime","K1H","206.63","170","160",""
"Florent Tamburini","K1H","206.82","191","161",""
"Christophe Siffert","K1H","207.94","172","168",""
"Pascal Ferry","K1H","207.95","149","168",""
"Julien Beltrami","K1H","208.14","127","169",""
"Childeric Thoreau","K1H","208.17","146","169",""
"Ganthier Damiens","K1H","209.17","165","174",""
"Mikael Maupin","K1H","209.17","151","174",""
"Douillet Guilhem","K1H","209.41","150","175",""
"Loic Monbel","K1H","209.97","175","178",""
"Nicolas Rebours","K1H","210.66","178","182",""
"Mathieu Biazizzo","K1H","210.93","165","183",""
"Frederic Tinchant","K1H","210.97","176","184",""
"Beghoura Yoni","K1H","212.28","207","191",""
"Romain Fraisse","K1H","212.67","175","193",""
"Nicolas Ciemniewski","K1H","212.68","209","193",""
"Kevin Burgi","K1H","213.02","149","195",""
"Philippe Daumont","K1H","213.29","151","197",""
"Jeremy Poux","K1H","213.30","210","197",""
"Florian Perenchio","K1H","213.53","188","198",""
"Sylvain Herrbach","K1H","213.57","180","198",""
"Julien Bley","K1H","213.77","186","199",""
"Michel Gombert","K1H","213.93","142","200",""
"Julien Haberland","K1H","214.05","160","200",""
"Dupont Eric","K1H","214.31","168","202",""
"Maxime Faivre","K1H","214.58","215","203",""
"Nathan Barbier","K1H","214.98","203","205",""
"Gilles Flores","K1H","215.45","217","208",""
"Didier Niel","K1H","215.70","203","209",""
"Ricci Miege Raphael","K1H","217.04","171","217",""
"Bourgeois Cedric","K1H","217.10","154","217",""
"Quentin Vallee","K1H","218.45","195","225",""
"Antoine Lebastard","K1H","220.23","272","234",""
"Sergent Sylvain","K1H","221.18","213","239",""
"Olivier Urbain","K1H","221.21","239","239",""
"Christophe Billaud","K1H","222.22","237","245",""
"Alain Ferry","K1H","225.53","239","263",""
"Nicolas Mangeolle","K1H","229.38","227","285",""
"Aurel Sebastien","K1H","237.19","245","327",""
"Quentin Burgi","K1H","282.74","218","575",""
