"Sélectif Régional - Vichy - 2012-01-21","Course 2","2012-01-21","Régional","191"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Claire Landrin","C1D","114.44","80.73","178.8",""
"Caroline Scherer","C1D","136.7","281.39","382.03",""
"Laurine Naveau","C1D","187.64","354.04","847.11",""
"Lucie Prioux","C1D","223.08","349.19","1170.67",""
"Clotilde Dumas","C1D","513.46","-","3821.81",""
"Annaelle Meheut","C1D","Nt","-","-",""
"Ophelia Lopes Marques","C1D","Nt","-","-",""
"Noa Bouchardon","C1D","Nt","-","-",""
"Sebastien De Kerleau","C1H","90.34","19.28","60.89",""
"Kevin Marquais","C1H","95.13","108.33","110.04",""
"Emilien Kempf","C1H","96.34","59.97","122.45",""
"Gurgen Brun","C1H","101.46","-","174.98",""
"Yann Rivallant","C1H","101.79","149.61","178.37",""
"Charles Edouard Dherment","C1H","103.71","164.9","198.07",""
"Guillaume Gonseth","C1H","103.94","319.38","200.43",""
"Galaad Pereyron","C1H","108.19","195.82","244.03",""
"Riwan Guillermic","C1H","110.19","157.97","264.56",""
"Thibaut Chadeyron","C1H","112.38","529.05","287.03",""
"Boris Sacre","C1H","112.52","294.59","288.46",""
"Adrien Picco","C1H","121.16","327.1","377.1",""
"Olivier Urbain","C1H","125.86","268.45","425.34",""
"Alexandre Paulais","C1H","128.47","262.5","452.11",""
"Remi Parayre","C1H","128.49","372","452.31",""
"Jean Messialle","C1H","132.65","-","495",""
"Nathan Rene Corail","C1H","147.92","345.31","651.67",""
"Loic Bartolomeu","C1H","162.88","633.14","805.17",""
"Yannis Brousset","C1H","206.22","522.66","1249.85",""
"Gaetan Cognet","C1H","258.9","-","1790.35",""
"Matthieu Basset","C1H","274.91","237.48","1954.62",""
"Vincent Froger","C1H","462.29","243.41","3877.18",""
"Guillaume Doutreix","C1H","Nt","-","-",""
"Fabrice Roy","C1H","Nt","-","-",""
"Pierre Bontoux","C1H","Nt","-","-",""
"Caryck Bouladjat","C1H","Nt","-","-",""
"Marc Brossard","C1H","Nt","-","-",""
"Matthias Besse","C1H","Nt","-","-",""
"Nicolas Baudoin","C1H","Nt","-","-",""
"Franck Lacroix","C1H","Nt","-","-",""
"Florent Bronchain","C1H","Nt","-","-",""
"Lucie Prioux-Alice Lachaudru","C2D","Nt","-","-",""
"Laurine Naveau-Claire Landrin","C2D","Nt","-","-",""
"Riwan Guillermic-Alexandre Paulais","C2H","106.89","92.35","180.85",""
"Guillaume Doutreix-Nizar Samlal","C2H","115.15","-","261.74",""
"Emilien Kempf-Silvere Desongins","C2H","178.29","208.8","880.13",""
"Sylvain Dandel-Thomas Dandel","C2H","Nt","-","-",""
"Boris Sacre-Antoine Dubost","C2H","Nt","-","-",""
"Matthias Besse-Marc Brossard","C2H","Nt","-","-",""
"Galaad Pereyron-Quentin Raissac","C2H","Nt","-","-",""
"Romain Chabrol-Yannick Besse","C2H","Nt","-","-",""
"Raphaelle Hovine-Matthieu Basset","C2M","139.27","-","405.49",""
"Nicolas Ciemniewski-Melanie Konig","C2M","155.66","-","555.13",""
"Clara Provent-Frederic Morand","C2M","Nt","-","-",""
"Clementine Geoffray","K1D","97.85","58.48","66.87",""
"Flora Bove","K1D","100.6","51.46","93.09",""
"Jihane Samlal","K1D","101.95","90.73","105.96",""
"Laurine Naveau","K1D","105.8","196.32","142.66",""
"Flora Huvelin","K1D","110.45","153.95","186.99",""
"Manon Prioux","K1D","113.69","177.72","217.89",""
"Raphaelle Hovine","K1D","114.34","159.85","224.08",""
"Alice Cailhol","K1D","114.7","150.91","227.51",""
"Lucie Prioux","K1D","117.15","200.16","250.87",""
"Camille Andrieux","K1D","119.12","162.58","269.65",""
"Anne Sophie Le Bailly","K1D","122.7","148.58","303.78",""
"Marion Laurain","K1D","130.45","168.05","377.66",""
"Dora Le Borgne","K1D","146.16","419.12","527.45",""
"Angele Picco","K1D","152.85","459.82","591.22",""
"Marlene Dumoulin","K1D","157.15","332.83","632.23",""
"Laurie Anne Sabatier","K1D","175.05","438.72","802.87",""
"Melanie Palazy","K1D","190.71","418.22","952.18",""
"Lou Galliot","K1D","225.29","449.77","1281.86",""
"Alice Lachaudru","K1D","253.45","334.88","1550.33",""
"Noemie Cazin","K1D","346.95","1796.96","2441.74",""
"Annaelle Meheut","K1D","Nt","-","-",""
"Jenny Chevalier","K1D","Nt","-","-",""
"Ophelia Lopes Marques","K1D","Nt","-","-",""
"Noa Bouchardon","K1D","Nt","-","-",""
"Barbara Lassechere","K1D","Nt","-","-",""
"Prossy Mirambe","K1D","Nt","-","-",""
"Romain Chabrol","K1H","84.89","22.25","48.52",""
"Bertrand Gutierrez","K1H","86.88","54.46","69.96",""
"Remi Baudot","K1H","87.81","57.48","79.98",""
"Emile Devaux","K1H","88.81","63.26","90.75",""
"Florient Tagnon","K1H","91.26","80.86","117.15",""
"Boris Sacre","K1H","91.41","69.22","118.76",""
"Charles Edouard Dherment","K1H","91.59","88.58","120.7",""
"Pierre Bontoux","K1H","92.01","89.96","125.23",""
"Nizar Samlal","K1H","92.45","139.05","129.97",""
"Thomas Schmitt","K1H","93.01","74.89","136",""
"Caryck Bouladjat","K1H","94.12","106.36","147.96",""
"Anthony Mottais","K1H","94.32","92.76","150.11",""
"Anthony Themines","K1H","94.55","154.49","152.59",""
"Hugues Parisse","K1H","95.31","182.23","160.78",""
"Matthieu Basset","K1H","95.41","119.78","161.86",""
"Antoine Dubost","K1H","96.75","144.17","176.29",""
"Enzo Seker","K1H","97.19","125.81","181.03",""
"Nicolas Ciemniewski","K1H","97.35","208.75","182.76",""
"Billel Khenchouche","K1H","97.42","145.43","183.51",""
"Jean Baptiste Thiel","K1H","97.59","131.21","185.34",""
"Marc Brossard","K1H","98.28","160.3","192.77",""
"Guillaume Doutreix","K1H","99.02","185.53","200.75",""
"William Gettliffe","K1H","99.96","198.48","210.87",""
"Remi Parayre","K1H","100.4","207.14","215.61",""
"Gurgen Brun","K1H","100.73","92.82","219.17",""
"Herve Clerc","K1H","101.38","191.85","226.17",""
"Alex Piotte","K1H","101.41","268.98","226.49",""
"Mathieu Douillet","K1H","101.69","125.19","229.51",""
"Nicolas Baudoin","K1H","103.09","115.26","244.59",""
"Olivier Urbain","K1H","103.72","188.11","251.38",""
"Anthony Thuillier","K1H","104.51","114.14","259.89",""
"Titouan Dupras","K1H","104.97","150.61","264.85",""
"Julien Guillerault","K1H","105.65","290.45","272.17",""
"Riwan Guillermic","K1H","107.53","190.3","292.43",""
"Jean Messialle","K1H","109.03","134.43","308.59",""
"Florent Bronchain","K1H","109.05","293.64","308.8",""
"Yannis Brousset","K1H","109.16","345.45","309.99",""
"Frederic Morand","K1H","110.34","207.65","322.7",""
"Lionel De Miranda","K1H","111.01","256.2","329.92",""
"Leo Fournier","K1H","111.44","292.59","334.55",""
"Antoine Beguer","K1H","111.6","203.04","336.27",""
"Arthur Bernot","K1H","111.85","114","338.97",""
"Romain Gauthron","K1H","114.21","643.05","364.39",""
"Vincent Gisbert","K1H","117","389.26","394.45",""
"Hippolyte Brunier","K1H","117.65","228.86","401.45",""
"Antoine Roux","K1H","117.73","103.73","402.31",""
"Adrien Picco","K1H","118.11","212.41","406.41",""
"Sebastien Le Parc","K1H","118.25","-","407.92",""
"Marc Laborde","K1H","118.42","243.28","409.75",""
"Olivier Debaud","K1H","118.72","-","412.98",""
"Esteban Le Coz","K1H","120.12","567.83","428.06",""
"Mathias Guillot","K1H","122.69","439.05","455.75",""
