"Manche de la Coupe de France National 2 Slalom - 37000 Tours - Finale - 2019-03-10","Finale","2019-03-10","Nationale 2","311"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Camille Castryck","C1D","110.23","278.5","131.72","Finale A"
"Laura Pellicer","C1D","121.28","303.32","240.35","Finale A"
"Caroline Scherer","C1D","161.5","334.71","635.72","Finale A"
"Perrine Joubert","C1D","170.04","359.5","719.67","Finale A"
"Lucille Meunier-cheyssac","C1D","179.29","300.33","810.6","Finale A"
"Romane Regnier","C1D","181.66","384.24","833.9","Finale A"
"Laurine Salesse","C1D","202.24","274.29","1036.21","Finale A"
"Emilie Delahaye","C1D","223.84","480.35","1248.54","Finale A"
"Auregane Philip","C1D","229.82","369.82","1307.34","Finale A"
"Nicolas Ducrocq","C1H","97.15","156.06","139.57","Finale A"
"Mewen Debliquy","C1H","98.11","244.37","150.35","Finale A"
"Thomas Launay","C1H","100.96","212.09","182.37","Finale A"
"Marc Sarramea","C1H","101.91","225.01","193.05","Finale A"
"Yvan Leblond","C1H","105.03","299.92","228.1","Finale A"
"Tomy Dandonneau","C1H","107.27","240.93","253.27","Finale A"
"Gaspard Perrio","C1H","107.33","206.47","253.94","Finale A"
"Jules Vonderscher","C1H","108.34","258.96","265.29","Finale A"
"Benoit Chantry","C1H","109.25","241.13","275.51","Finale A"
"Terence Saramandif","C1H","110.05","271.97","284.5","Finale A"
"Martin Daviet","C1H","110.85","234.01","293.48","Finale A"
"Matheo Lebaindre","C1H","113.33","311.26","321.34","Finale A"
"Gaetan Hamelin","C1H","116.91","314.76","361.57","Finale A"
"Maxime Kabir","C1H","117.04","294.72","363.03","Finale A"
"Paul Cascarino","C1H","117.89","271.57","372.57","Finale A"
"Charles Dampeyrou","C1H","118.05","284.66","374.38","Finale A"
"Alex Baldoni","C1H","123.54","333.38","436.05","Finale A"
"Dominik Gosset","C1H","126.46","341.67","468.86","Finale A"
"Glen Le Meur","C1H","133.22","280.8","544.8","Finale A"
"Lubin Huet","C1H","143.56","267.81","660.97","Finale A"
"Faysal Ali Zazou","C1H","150.73","219.91","741.52","Finale A"
"Timothee Cornu","C1H","151.77","210.65","753.21","Finale A"
"Melenn Aubry","C1H","162.54","339.34","874.21","Finale A"
"Paul Tallet Pinet","C1H","168.54","242.2","941.61","Finale A"
"Alexandre Ghirardi","C1H","173.58","235.3","998.24","Finale A"
"Etienne Wiche","C1H","538.51","284.8","5098.13","Finale A"
"Mathurin Madore","C1H","Dsq","-","-","Finale A"
"Matthieu Le Gall","C1H","Dsq","-","-","Finale A"
"Herve Busson-Vincent Froger","C2H","166.45","499.9","833.13","Finale A"
"Philippe Thevenin-Christophe Marechal","C2H","209","2332.72","1289.44","Finale A"
"Erwan Degreve-Kilian Godart","C2H","340.59","483.5","2700.62","Finale A"
"Rafael Lerusse-Glen Le Meur","C2H","Dsq","-","-","Finale A"
"Tiphaine Duboc-Michael Philibert","C2M","151.24","558.28","534.86","Finale A"
"Luc Sarramea-Carla Lacroix","C2M","223.54","430.14","1245.59","Finale A"
"Fabien Le Nechet-Maela Le Corre","C2M","251.23","462.22","1517.8","Finale A"
"Gaetan Hamelin-Laurine Naveau","C2M","Abs","-","-","Finale A"
"Emilie Chamouleau-Christophe Marechal","C2M","Abs","-","-","Finale A"
"Caroline Bourry","K1D","107.93","186.19","174.83","Finale A"
"Laura Pellicer","K1D","112.23","218.86","219.72","Finale A"
"Solene Grenier","K1D","113.44","237.26","232.35","Finale A"
"Marie Amelie Silvin","K1D","114.45","243.37","242.9","Finale A"
"Zoe Bruchon","K1D","120.77","217.9","308.87","Finale A"
"Lolita Seguy","K1D","122.78","277.43","329.86","Finale A"
"Angelique Guilcher","K1D","123.15","242.17","333.72","Finale A"
"Marion Pasquali","K1D","123.71","315.55","339.57","Finale A"
"Adeline Roux","K1D","124.63","259.04","349.17","Finale A"
"Clemence Lartigue","K1D","125.27","199.53","355.85","Finale A"
"Nelia Barbosa","K1D","131.22","344.7","417.97","Finale A"
"Youlia Estanguet","K1D","131.79","353.19","423.91","Finale A"
"Marie Juquelier","K1D","132.25","297.85","428.71","Finale A"
"Perrine Joubert","K1D","132.34","261.3","429.66","Finale A"
"Maeva Bachelot","K1D","136.15","408.59","469.44","Finale A"
"Elorri Erdois","K1D","136.35","300.22","471.52","Finale A"
"Margaux Fabijan","K1D","138.26","318.63","491.46","Finale A"
"Eva Marchand","K1D","140.86","343.08","518.6","Finale A"
"Romane Bronchet","K1D","140.96","382.47","519.64","Finale A"
"Emilie Delahaye","K1D","145.23","319.87","564.22","Finale A"
"Clara Delahaye","K1D","145.37","324.52","565.68","Finale A"
"Manon Le Lay","K1D","150.69","348.96","621.22","Finale A"
"Sylviane Quemerais","K1D","154","382.99","655.77","Finale A"
"Zoe Waeles","K1D","161.24","369.6","731.35","Finale A"
"Camille Castryck","K1D","166.58","252.92","787.1","Finale A"
"Mae Bianco","K1D","183.33","335.06","961.96","Finale A"
"Margot Perrin","K1D","185.7","296.42","986.7","Finale A"
"Emilie Armani","K1D","187.87","372.47","1009.36","Finale A"
"Romane Regnier","K1D","197.5","307.82","1109.89","Finale A"
"Lison Gautrelet","K1D","207.67","415.98","1216.06","Finale A"
"Kesia Georgel","K1D","251.48","349.36","1673.4","Finale A"
"Emilie Chamouleau","K1D","252.59","424.99","1684.99","Finale A"
"Celia Grandadam","K1D","289.92","350.91","2074.68","Finale A"
"Clara Grangeon","K1D","335.72","362.66","2552.81","Finale A"
"Anouk Alberti","K1D","385.56","352.88","3073.11","Finale A"
"Marie Hilger","K1D","390.58","302.25","3125.51","Finale A"
"Lea Baldoni","K1D","393.71","311.14","3158.19","Finale A"
"Laurine Naveau","K1D","448.04","371.06","3725.36","Finale A"
"Gael Adisson","K1H","88.6","158.06","93.28","Finale A"
"Matthieu Le Gall","K1H","92.31","147.13","137.05","Finale A"
"Joris Hello","K1H","93.76","193.29","154.15","Finale A"
"Gabriel De Coster","K1H","94.2","132.49","159.34","Finale A"
"Fabien Le Nechet","K1H","94.33","217.61","160.88","Finale A"
"Christophe Marechal","K1H","94.48","201.58","162.65","Finale A"
"Pierre Marie Roussel","K1H","94.76","133.16","165.95","Finale A"
"Matheo Lebaindre","K1H","95.1","122.72","169.96","Finale A"
"Arthur Mizzi","K1H","95.42","134.14","173.73","Finale A"
"Benoit Chantry","K1H","95.47","148.51","174.32","Finale A"
"Pol Euzenes","K1H","95.64","178.62","176.33","Finale A"
"Titouan Castryck","K1H","96.01","192.75","180.69","Finale A"
"Samuel Bonella","K1H","96.09","179.76","181.64","Finale A"
"Luc Hellard","K1H","96.28","211.36","183.88","Finale A"
"Maxime Aubertin","K1H","97.28","203.29","195.68","Finale A"
"Nicolas Feuillard","K1H","97.53","188.58","198.62","Finale A"
"Romain Bruneau","K1H","97.78","233.46","201.57","Finale A"
"Valentin Courtiade","K1H","97.8","191.58","201.81","Finale A"
"Nicolas Bernardy","K1H","98.23","226.06","206.88","Finale A"
"Paul Gestin","K1H","98.69","160.71","212.31","Finale A"
"Sam Traquet","K1H","98.95","179.92","215.38","Finale A"
