"SELECTIF DE CERGY - Cergy - 2001-10-14","Course 1","2001-10-14","Régional","127"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Mathieu Voyemant","C1H","244.48","90","97",""
"Damien Troquenet","C1H","252.62","175","136",""
"Remi Debailleul","C1H","265.89","320","198",""
"Collard Aurelien","C1H","272.38","405","229",""
"Sebastien Andrieu","C1H","273.18","-","233",""
"Magnaval Willy","C1H","273.57","-","235",""
"Olivier Gesbert","C1H","274.23","286","238",""
"Marceau Gregory","C1H","278.68","345","259",""
"Bozec Florian","C1H","279.09","343","261",""
"Poret Gregory","C1H","280.05","-","265",""
"Cam Drouhin Francois","C1H","280.77","354","269",""
"Mirand Guillaume","C1H","283.02","280","279",""
"Cubizolles Sebastien","C1H","285.78","378","292",""
"Maxime Cousin","C1H","286.65","248","296",""
"Loic Marechal","C1H","287.95","331","303",""
"Guillonet Jerome","C1H","288.42","542","305",""
"Lodolo Clement","C1H","292.37","371","323",""
"Philippe Senechal","C1H","292.49","287","324",""
"Coquille Alexis","C1H","296.31","450","342",""
"Jean-guillaume Desmoulin","C1H","302.94","341","373",""
"Perruchet Fabien","C1H","302.95","449","373",""
"William Ozanne","C1H","303.94","495","378",""
"Heilles Fabien","C1H","310.69","495","410",""
"Denoyer Sebastien","C1H","320.99","567","458",""
"Allemandou Fabien","C1H","326.18","-","483",""
"Levert Michel","C1H","327.53","-","489",""
"Jacques Nardeau","C1H","331.29","-","507",""
"Mateos Ruiz Bastien","C1H","333.97","-","520",""
"Monvoisin Benoit","C1H","335.39","-","526",""
"Mateos Ruiz Gautier","C1H","345.37","-","574",""
"Guerinet Cedric","C1H","358.53","-","636",""
"Dubois Maxime","C1H","371.85","-","699",""
"Siouville Vincent","C1H","376.03","-","718",""
"Guillonet Pierre","C1H","392.96","-","798",""
"Mathieu Voyemant-Damien Troquenet","C2H","271.38","-","113",""
"Andrieu Sebastien- Mirand Guillaume","C2H","275.99","109","133",""
"Castryck Frederic- Bethune Fabrice","C2H","282.34","130","160",""
"Dos Santos Thomas- Vilas Bertrand","C2H","293.95","-","210",""
"Buchheit Fabien- Briois Mathieu","C2H","325.76","251","347",""
"Pailler Gregory- Arnoult Jb","C2H","341.71","-","416",""
"Jacques Nardeau-Christine Nardeau","C2M","481.45","-","1018",""
"Tanet Lucie","K1D","283.14","210","164",""
"Hubert Sandrine","K1D","292.69","-","205",""
"Lesigne Clemence","K1D","293.53","212","208",""
"Jarrot Julie","K1D","295.83","398","218",""
"Besch Eulalie","K1D","305.13","382","258",""
"Caroline Bourry","K1D","316.19","442","306",""
"Olivreau Marion","K1D","371.6","-","545",""
"Maryse Viseur","K1D","372.21","-","547",""
"Vissac Fanny","K1D","373.47","-","553",""
"Bordier Berangere","K1D","390.9","-","628",""
"Cochard Isabelle","K1D","398.15","-","659",""
"Clementine Vuillermot-panthou","K1D","495.43","-","1078",""
"Rodot Delphine","K1D","533.4","-","1242",""
