"CHAMPIONNAT DE BRETAGNE DE SLALOM - Lannion - 2007-12-09","Course 1","2007-12-09","Régional","235"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laetitia Odermatt","C1D","292.17","439","407",""
"Caroline Loir","C1D","308.38","294","485",""
"Edern Le Ruyet","C1H","196.85","37","70",""
"Jeremie Gouello","C1H","197.64","35","74",""
"Emeric Bertrand","C1H","200.38","114","89",""
"Thibaud Vielliard","C1H","200.52","55","89",""
"Jeremy Moreaux","C1H","203.72","127","106",""
"Ronan Betrom","C1H","204.00","55","108",""
"Jerome Le Gall","C1H","204.94","54","113",""
"Martin Braud","C1H","206.17","-","119",""
"Yann Le Pennec","C1H","206.70","148","122",""
"Gaetan Le Henaff","C1H","207.36","180","125",""
"Medhi Deguil","C1H","208.61","115","132",""
"Morgan Vourch","C1H","210.20","105","141",""
"Lepage Clement","C1H","213.82","57","160",""
"Narduzzi Yves","C1H","213.99","120","161",""
"Loic Brunel","C1H","215.30","-","168",""
"Gireg Hamoniaux","C1H","217.38","187","179",""
"Simon Le Friec","C1H","218.67","242","186",""
"Julien Coudert","C1H","220.76","254","197",""
"Didier Botrel","C1H","221.31","179","200",""
"Paskal Cloarec","C1H","225.75","196","224",""
"Nicolas Coudert","C1H","227.49","-","234",""
"Julien Darcillon","C1H","227.64","188","234",""
"Philippe Quemerais","C1H","228.04","217","236",""
"Cedric Collet","C1H","232.62","213","261",""
"Marc Anthoine Marchand","C1H","232.72","-","261",""
"Regis Cabel","C1H","232.90","325","262",""
"Florian Helen","C1H","234.37","268","270",""
"Brendan Croizer","C1H","236.80","339","284",""
"Solen Le Bourles","C1H","245.23","-","328",""
"Antoine Simon","C1H","247.48","266","340",""
"Riwal Le Berre","C1H","250.27","-","356",""
"Boris Nedelec","C1H","251.09","353","360",""
"Franck Delachair","C1H","251.87","-","364",""
"Guillaouet Yoann","C1H","254.24","456","377",""
"Le Gall Lucas","C1H","256.89","317","391",""
"Kerambrun Guillaume","C1H","262.09","-","419",""
"Quentin De Fierville","C1H","265.22","-","436",""
"Yvan Raoult","C1H","269.94","-","461",""
"Yves Prigent","C1H","275.87","-","493",""
"Martineau Sylvain","C1H","278.29","-","506",""
"Olivier Gerbeaux","C1H","279.42","-","512",""
"Maxime Perron","C1H","291.50","-","576",""
"William Desnos","C1H","296.81","-","604",""
"Pierre Mikolajczak","C1H","311.68","-","684",""
"Quentin Gillot","C1H","318.75","430","722",""
"Garzuel Erwan","C1H","322.73","-","743",""
"David Julou","C1H","334.89","660","808",""
"Yvan Nicolas","C1H","340.96","508","841",""
"Le Gallou Mathias","C1H","364.19","-","965",""
"Titouan Brouder","C1H","385.85","604","1081",""
"Lucas Hives - Sorin","C1H","396.45","-","1138",""
"Le Guillouzic Clément","C1H","402.33","-","1169",""
"Maxime Beaulieu","C1H","484.96","-","1612",""
"Miossec Laurent","C1H","713.99","-","2838",""
"Estelle Hellard-Anais Coudrin","C2D","327.63","-","489",""
"Cedric Forgit-Martin Braud","C2H","206.21","11","41",""
"Philippe Quemerais-Yann Le Pennec","C2H","211.95","39","70",""
"Loic Brunel-Medhi Deguil","C2H","215.11","83","86",""
"Michel Lanchec-Francois Potin","C2H","227.35","-","147",""
"Emeric Bertrand-Jeanmarie Le Guyader","C2H","247.32","-","246",""
"Vieillard Thibaud- Sarazin Emmanuel","C2H","247.96","-","249",""
"Lucas Le Gall-Guillaume Kerambrun","C2H","255.53","-","287",""
"Jouan Benoit- Le Friec Simon","C2H","260.56","-","312",""
"Pierre Yves Tanguy-Titouan Brouder","C2H","293.30","-","474",""
"Riwal Ollivier-Olivier Gerbeaux","C2H","302.02","-","518",""
"Maxime Perron-Yvan Nicolas","C2H","342.65","-","720",""
"Pernelle Boris- Le Bescaut Jean","C2H","358.41","-","799",""
"Le Bourser Fabien- Guillot Louis","C2H","402.27","-","1017",""
"Quentin Chapin-Charles Potier","C2H","523.13","-","1618",""
"Elisa Venet","K1D","202.12","32","30",""
"Bardet Annelise","K1D","206.71","58","53",""
"Caroline Loir","K1D","213.41","68","87",""
"Elodie Le Nechet","K1D","220.38","108","121",""
"Sarah Despres","K1D","220.55","140","122",""
"Estelle Hellard","K1D","236.24","-","201",""
"Claire Moal","K1D","238.47","317","213",""
"Marie-francoise Prigent","K1D","240.13","237","221",""
"Anais Coudrin","K1D","240.92","286","225",""
"Helene Thuret","K1D","245.56","315","248",""
"Sylviane Quemerais","K1D","245.69","341","249",""
"Lucie Saucet","K1D","245.86","286","249",""
"Julie Quesne","K1D","248.17","320","261",""
"Laetitia Odermatt","K1D","252.21","284","282",""
"Chloe Le Clezio","K1D","255.63","296","299",""
"Nagwa Lanchec El Desouki","K1D","262.06","38","331",""
"Kristell Bervet","K1D","272.96","372","385",""
"Deborah Larsonneur","K1D","274.17","297","391",""
"Pauline Bercon","K1D","288.49","365","463",""
"Anne Gombert","K1D","290.41","395","473",""
"Josephine Le Morvan","K1D","305.36","-","548",""
"Aurelie Le Fee","K1D","305.66","327","549",""
"Bencivengo Chloe","K1D","313.11","-","587",""
"Charlene Le Corvaisier","K1D","314.41","228","594",""
"Nolwen Jouan","K1D","324.73","289","646",""
"Julie Arsento - Lefrancois","K1D","326.40","-","654",""
"Claire Pichon","K1D","326.44","318","654",""
"Maud Sevaux","K1D","327.40","-","659",""
"Le Bihan Marion","K1D","327.59","406","660",""
"Stephanie Le Mercier","K1D","344.01","239","742",""
"Rocher Laura","K1D","363.35","318","840",""
"Marie Landais","K1D","376.02","394","902",""
"Baradel Anne","K1D","380.62","383","926",""
"Claire Saucet","K1D","390.41","-","976",""
"Guillaouet Typhaine","K1D","404.14","636","1045",""
"Breton Enora","K1D","439.42","586","1221",""
"Jouan Gaelle","K1D","463.39","495","1342",""
"Gloaguen Grandjean Trifin","K1D","513.78","-","1594",""
"Boschat Morgane","K1D","628.13","-","2169",""
"Gaubert Louise","K1D","663.07","-","2344",""
"Marion Cotivy","K1D","850.20","-","3284",""
"Dubot Anne-Sophie","K1D","1031.84","-","4195",""
"Benoit Guillaume","K1H","195.80","33","116",""
"Pierre Marie Roussel","K1H","198.55","94","131",""
"Julien Coudert","K1H","199.61","117","138",""
"Nicolas Coudert","K1H","201.37","-","148",""
"Romain Guyomard","K1H","203.37","113","159",""
"Adrien Ferec","K1H","203.83","72","162",""
"Lionel Tinevez","K1H","203.84","126","162",""
"Franck Delachair","K1H","204.30","135","164",""
"Benoit Lepage","K1H","204.54","84","165",""
"Laurent Le Touze","K1H","204.62","81","166",""
"Valentin Brindeau","K1H","207.41","163","181",""
"Jean Yves Prigent","K1H","207.57","238","182",""
"Fabien Le Nechet","K1H","208.24","137","186",""
"Boris Pernelle","K1H","208.31","126","186",""
"Erwan Cadio","K1H","208.52","99","187",""
"Simon Despres","K1H","209.82","163","195",""
"Vincent Gourmel","K1H","210.00","95","196",""
"Melaine Pichard","K1H","210.41","133","198",""
"Christophe Le Mercier","K1H","210.50","182","198",""
"William Desnos","K1H","210.54","180","199",""
"Tristan Bronsard","K1H","211.74","221","206",""
"Benoit Jouan","K1H","212.48","225","210",""
"Laurent Rigaud","K1H","212.85","132","212",""
"Edern Le Ruyet","K1H","213.23","-","215",""
"Romain Lecrenais-perrel","K1H","213.37","315","215",""
"Alain Droniou","K1H","213.97","185","219",""
"Olivier Clement","K1H","214.03","187","219",""
"Regis Cabel","K1H","214.07","231","219",""
"Brieuc Cadic","K1H","217.11","155","236",""
"Julien Dosse","K1H","217.96","146","241",""
"Nicolas Carduner","K1H","218.22","-","242",""
"Jeremy Froger","K1H","218.89","-","246",""
"Riwal Le Berre","K1H","218.89","166","246",""
"Kevin Gouabault","K1H","219.57","161","250",""
