"Championnat Régional - Lochrist - Finale - 2014-11-23","Finale","2014-11-23","Régional","337"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Charlotte Abba","C1D","122.48","132.13","138.85","Finale A"
"Camille Prigent","C1D","122.96","146.03","143.27","Finale A"
"Margaux Henry","C1D","127.87","209.57","188.5","Finale A"
"Marine Leveque","C1D","140.16","-","301.72","Finale A"
"Zoe Huet","C1D","143.65","555.6","333.87","Finale A"
"Lisa Marechal","C1D","167.51","-","553.69","Finale A"
"Anais Bernardy","C1DM","144.28","-","339.68","Finale A"
"Helene Raguenes","C1DM","160.03","-","484.77","Finale A"
"Alice Azam","C1DM","223.22","-","1066.91","Finale A"
"Simon Le Friec","C1H","105.78","48.89","124.22","Finale A"
"Maxime Perron","C1H","106.09","57.8","127.48","Finale A"
"Jean Pierre Bourhis","C1H","109.64","97.44","164.85","Finale A"
"Yves Bourhis","C1H","112.62","183.79","196.23","Finale A"
"Lucas Hives - Sorin","C1H","113.01","103.56","200.34","Finale A"
"Gael Le Noc","C1H","113.76","164.01","208.23","Finale A"
"Philippe Quemerais","C1H","114.53","221.2","216.34","Finale A"
"Corentin Oulhen","C1H","115.28","151.1","224.23","Finale A"
"Thomas Launay","C1H","115.55","234.46","227.08","Finale A"
"Baptiste Le Poncin","C1H","115.56","183.3","227.18","Finale A"
"Jules Chaumet","C1H","115.92","226.78","230.97","Finale A"
"Guillaume Le Bourdonnec","C1H","116.27","163.09","234.65","Finale A"
"Gaetan Le Henaff","C1H","116.9","166.57","241.29","Finale A"
"Malo Poles","C1H","119.18","200.21","265.3","Finale A"
"Loic Kervella","C1H","119.18","236.23","265.3","Finale A"
"Erwan Perron","C1H","119.38","236.46","267.4","Finale A"
"Valentin Marteil","C1H","119.57","285.38","269.4","Finale A"
"Nicolas Bernardy","C1H","119.76","318.51","271.4","Finale A"
"Samuel Lhegu","C1H","120.32","305.15","277.29","Finale A"
"Ronan Gouzien","C1H","120.38","251.91","277.93","Finale A"
"Malo Quemeneur","C1H","121.64","253.9","291.2","Finale A"
"Nicolas Coudert","C1H","123.05","285.19","306.04","Finale A"
"Luc Hellard","C1H","123.37","234.43","309.41","Finale A"
"Sami Rocher","C1H","127.06","-","348.27","Finale A"
"Gaetan Cougoulat","C1H","130.05","350.2","379.74","Finale A"
