"Sélectif N2 - Épinal - 2010-05-30","Course 1","2010-05-30","Nationale 2","113"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Thibault Blaise","C1H","112.72","70","109",""
"Xavier Sucker","C1H","113.34","196","115",""
"Bastien Damiens","C1H","113.41","234","116",""
"Valentin Lang","C1H","113.45","107","116",""
"Frederic Walczak","C1H","115.44","165","134",""
"Christophe Despres","C1H","117.05","171","149",""
"Philippe Thevenin","C1H","117.98","174","157",""
"Frederic Momot","C1H","118.38","165","160",""
"Emilien Kempf","C1H","118.49","145","161",""
"Jeancharles Reby","C1H","118.80","199","164",""
"Jan Pischek","C1H","119.06","162","167",""
"Roman Duprey","C1H","119.27","170","169",""
"Jonathan Matern","C1H","119.66","156","172",""
"Stephane Abadie","C1H","119.71","141","172",""
"Yoan Del Rey","C1H","119.79","147","173",""
"Olivier Barriere","C1H","121.29","243","187",""
"Quentin Moreaux","C1H","122.60","236","199",""
"Loic Marechal","C1H","123.13","222","203",""
"Marcantoine Hacquart","C1H","123.76","204","209",""
"Mathieu Biazizzo","C1H","124.15","161","212",""
"Alexis Caspar","C1H","125.78","-","227",""
"Raphael Vignaux","C1H","126.09","213","231",""
"Mathieu Dutendas","C1H","126.58","204","234",""
"Maxime Cousin","C1H","126.65","238","235",""
"Alexis Collin","C1H","129.23","241","259",""
"William Ozanne","C1H","131.29","229","277",""
"Thibault Bigeon","C1H","Nt","-","-",""
"Oswald Besch","C1H","Nt","-","-",""
"Frederic Walczak-Emmanuel Walczak","C2H","120.31","189","129",""
"Claude Menissier-Gerard Menissier","C2H","130.42","244","216",""
"Jerome Lacire-Quentin Moreaux","C2H","130.87","228","220",""
"Alexandre Mathis-Pierre Melin","C2H","131.25","161","223",""
"Julien Arribe-Jeancharles Reby","C2H","132.38","243","233",""
"Jerome Olhagaray-Jonathan Matern","C2H","141.36","257","310",""
"Nicolas Ciemniewski-Florianne Gautier","C2M","133.45","239","164",""
"Elodie Delavelle","K1D","125.99","169","149",""
"Jihane Samlal","K1D","127.28","130","160",""
"Berangere Baudart","K1D","129.11","131","175",""
"Emeline Oudet","K1D","129.88","200","181",""
"Anne Traband","K1D","130.31","-","185",""
"Jenny Chevalier","K1D","130.52","142","187",""
"Florianne Gautier","K1D","132.19","187","201",""
"Lorraine Mathis","K1D","132.81","198","206",""
"Blanche Legin","K1D","133.89","257","215",""
"Stephanie Ansot","K1D","134.03","200","216",""
"Cecile Meichel","K1D","135.20","250","226",""
"Charlotte Lubineau","K1D","135.92","164","233",""
"Sarah Michel","K1D","136.91","264","241",""
"Lucile Remond","K1D","140.52","262","271",""
"Cindy Beche","K1D","141.10","247","275",""
"Emmanuelle Gigandet","K1D","141.34","294","278",""
"Victorine Gerard","K1D","141.72","294","281",""
"Sylvie Metz","K1D","141.79","269","282",""
"Sophie Machiels","K1D","142.39","221","286",""
"Harmony Thery","K1D","143.70","265","297",""
"Morgane Charron","K1D","143.90","292","299",""
"Marlene Dumoulin","K1D","144.13","275","301",""
"Chloe Gatuingt","K1D","145.46","287","313",""
"Melanie Ragaru","K1D","146.94","196","325",""
"Brigitte Marechal","K1D","150.30","305","353",""
"Charlotte Abba","K1D","151.21","296","361",""
"Sophie Balmossiere","K1D","151.51","263","364",""
"Emilie Saguet","K1D","153.11","290","377",""
"Elodie Berrot","K1D","Nt","-","-",""
"Bastien Damiens","K1H","100.97","57","48",""
"Martin Dougoud","K1H","103.06","77","68",""
"Mathieu Bandelier","K1H","104.44","88","81",""
"Jerome Olhagaray","K1H","104.85","71","86",""
"Bertrand Gutierrez","K1H","105.14","104","88",""
"Benoit Chantry","K1H","105.25","108","89",""
"Antoine Colas","K1H","105.51","125","92",""
"Julien Arribe","K1H","105.53","83","92",""
"Lukas Werro","K1H","105.90","112","96",""
"Benoit Letellier","K1H","106.25","97","98",""
"Romain Faurie","K1H","106.53","98","101",""
"Silvere Desongins","K1H","106.87","147","105",""
"Florient Tagnon","K1H","106.93","92","105",""
"Quentin Moreaux","K1H","108.28","137","118",""
"Willy Hugedet","K1H","108.44","173","119",""
"Nikolas Stanik","K1H","108.52","150","120",""
"Mael Othenin Girard","K1H","108.74","108","122",""
"Marc Biazizzo","K1H","108.83","186","123",""
"Paul Aubert","K1H","109.20","109","127",""
"Maxime Faivre","K1H","109.41","151","129",""
"Louis Bandelier","K1H","110.37","180","138",""
"Romain Viry","K1H","110.38","148","138",""
"Loic Jeanningros","K1H","110.53","58","140",""
"Didier Niel","K1H","110.98","166","144",""
"Jeremy Lehning","K1H","111.34","107","147",""
"Bertrand Avril","K1H","111.70","162","150",""
"Mikael Maupin","K1H","111.89","189","152",""
"Nicolas Burgi","K1H","112.01","172","153",""
"Lucas Ferraina","K1H","112.02","173","153",""
"Nicolas Ciemniewski","K1H","112.21","131","155",""
"Gregory Booth","K1H","112.99","186","163",""
"Nicolas Mangeolle","K1H","113.26","183","165",""
"Arthur Georges","K1H","113.29","128","166",""
"Mathieu Douillet","K1H","114.26","181","175",""
"Nathan Barbier","K1H","114.34","157","176",""
"Michel Gombert","K1H","114.64","177","179",""
"Damien Burteaux","K1H","114.69","202","179",""
"Laurent Starck","K1H","114.72","186","180",""
"Matthieu Walfard","K1H","114.81","186","181",""
"Olivier Urbain","K1H","114.82","190","181",""
"Bastien Belembert","K1H","115.37","166","185",""
"Kevin Lucas Mendes","K1H","115.77","161","190",""
"Gaetan Kieffert","K1H","116.30","207","194",""
"Tristan Lejot","K1H","117.27","182","203",""
"Philippe Devillers","K1H","118.28","218","213",""
"Loic Sieber","K1H","Nt","-","-",""
"Alexandre Pocard","K1H","Nt","-","-",""
"Nicolas Germay","K1H","Nt","-","-",""
"Gregory Busson","K1H","Nt","-","-",""
