"Nationale 2 huningue - Huningue - 2008-03-22","Course 1","2008-03-22","Nationale 2","108"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Alexandre Pocard","C1H","223.61","119","133",""
"Parmentelat Edouard","C1H","225.75","126","143",""
"Leo Thomas","C1H","228.95","189","157",""
"Quentin Bove","C1H","229.10","177","158",""
"Eloi Seemann","C1H","230.23","167","163",""
"Matthieu Peche","C1H","230.38","209","163",""
"Nils Mosch","C1H","235.13","164","184",""
"Jeancharles Reby","C1H","235.22","198","184",""
"Lorrie Delattre","C1H","236.58","95","190",""
"Anthony Colin","C1H","237.29","116","194",""
"Christophe Despres","C1H","238.69","168","199",""
"Sebastien De Kerleau","C1H","241.61","161","212",""
"Benjamin Maubert","C1H","242.41","123","216",""
"Jan Pischek","C1H","247.04","193","237",""
"Thomas Koechlin","C1H","247.65","220","239",""
"Thibault Bigeon","C1H","252.60","203","261",""
"Olivier Arette Hourquet","C1H","252.62","199","261",""
"Pierrick Maujean","C1H","253.45","224","265",""
"Geoffroy Schwentzel","C1H","253.89","215","267",""
"Teddy Poulard","C1H","254.34","254","268",""
"Mathys Morgan","C1H","261.45","247","300",""
"Jemaa Souleyk","C1H","261.97","221","302",""
"Maxime Cousin","C1H","264.27","235","312",""
"Parmentelat Cyril","C1H","270.86","153","341",""
"Oswald Besch","C1H","305.82","234","495",""
"Marcantoine Hacquart-Valentin Lang","C2H","256.30","231","198",""
"Claude Menissier-Gerard Menissier","C2H","271.63","249","260",""
"Lambert Kevin- Lacour Gregory","C2H","276.44","227","279",""
"Anne Sophie Le Bailly","K1D","242.80","152","151",""
"Anne Traband","K1D","247.92","201","172",""
"Gaelle Tosser-roussey","K1D","249.48","185","178",""
"Elise Pierron","K1D","255.08","209","202",""
"Sarah Michel","K1D","256.46","181","207",""
"Harmony Thery","K1D","257.08","215","210",""
"Flora Bove","K1D","257.20","180","211",""
"Mylene Renaud","K1D","259.43","210","220",""
"Fiora Bourges","K1D","260.10","211","222",""
"Tiphanie Borlet","K1D","264.97","230","243",""
"Barbara Gibert","K1D","266.43","258","249",""
"Sophie Machiels","K1D","267.16","252","251",""
"Laura Fauste","K1D","267.99","175","255",""
"Sandra Nicolas","K1D","270.91","280","267",""
"Calypso Freichel","K1D","273.87","285","279",""
"Anais Dieterling","K1D","275.64","296","286",""
"Anais Couturier","K1D","275.80","274","287",""
"Stephanie Ansot","K1D","280.30","258","306",""
"Lisa Elasri","K1D","286.06","326","329",""
"Sylvaine Louis","K1D","287.40","288","334",""
"Sophie Balmossiere","K1D","291.77","298","353",""
"Florianne Gautier","K1D","303.60","263","402",""
"Emmanuel Walczak","K1H","198.33","76","66",""
"Emile Devaux","K1H","200.06","109","74",""
"Andy Pajani","K1H","202.24","96","84",""
"Alexis Caspar","K1H","202.81","109","87",""
"Jules Bevalot","K1H","205.10","81","98",""
"Jimy Bercon","K1H","205.58","116","99",""
"Hafiz Ali Hassan","K1H","206.29","112","103",""
"Mathieu Bandelier","K1H","206.57","119","104",""
"Jerome Olhagaray","K1H","208.11","111","111",""
"Benjamin Travostino","K1H","208.47","94","113",""
"Nicolas Abbal","K1H","208.89","125","115",""
"Enrick Cunsolo","K1H","210.11","168","121",""
"Kevin Schultz","K1H","211.17","151","126",""
"Pierre Baux","K1H","211.73","151","128",""
"Julien Haberland","K1H","211.77","126","128",""
"Quentin Burgi","K1H","213.07","125","134",""
"Martin Dougoud","K1H","214.14","163","139",""
"Bertrand Bercon","K1H","214.51","133","141",""
"Gregory Busson","K1H","214.57","87","141",""
"Bertrand Gutierrez","K1H","214.63","146","141",""
"Kevin Burgi","K1H","216.57","147","150",""
"Romain Bove","K1H","216.73","159","151",""
"Christophe Siffert","K1H","217.67","190","155",""
"Olivier Machiels","K1H","218.52","314","159",""
"Remi Thomas","K1H","218.72","189","160",""
"Nathan Barbier","K1H","219.28","178","163",""
"Louison Tanet","K1H","219.35","198","163",""
"Romain Viry","K1H","220.29","177","167",""
"Julien Bley","K1H","220.72","183","169",""
"Pascal Ferry","K1H","220.73","165","169",""
"Julien Beltrami","K1H","220.74","178","170",""
"Jules Domine","K1H","221.36","199","172",""
"Jeremy Vibert","K1H","221.45","137","172",""
"Frederic Tinchant","K1H","221.82","184","174",""
"Didier Niel","K1H","222.98","223","180",""
"Maxime Faivre","K1H","223.24","173","181",""
"Jean Charles Creusot Walter","K1H","223.99","138","184",""
"Nicolas Burgi","K1H","224.77","170","188",""
"Childeric Thoreau","K1H","225.51","148","191",""
"Remi Baudot","K1H","225.57","166","192",""
"Sylvain Herrbach","K1H","225.65","190","192",""
"Michel Gombert","K1H","226.28","161","195",""
"Mickael Louchard","K1H","226.29","205","195",""
"Bertrand Avril","K1H","227.19","211","199",""
"Paul Poulet","K1H","228.46","223","205",""
"Fabien Hantz","K1H","230.36","198","214",""
"Jeremy Poux","K1H","230.94","230","216",""
"Beghoura Yoni","K1H","231.47","194","219",""
"Stefan Stanik","K1H","231.74","196","220",""
"Nicolas Ciemniewski","K1H","234.65","342","233",""
"Venceslas Viseur","K1H","235.11","151","236",""
"Olivier Bourgey","K1H","236.96","200","244",""
"Mathieu Biazizzo","K1H","254.99","135","328",""
"Mathieu Haberland","K1H","260.75","137","354",""
"Yoann Hautecloche","K1H","262.74","103","363",""
"Julien Tous","K1H","270.18","76","397",""
"Yves Debailleul","K1H","284.42","206","464",""
"Vincent Bajolot","K1H","291.01","216","493",""
