"Nationale 3 - Lavancia Epercy - 2012-04-08","Course 3","2012-04-08","Nationale 3","169"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Manon Galmiche","C1D","156.94","293.24","404.76",""
"Carla Cerrutti - Bozzola","C1D","231.33","603.75","1035.8",""
"Ophelia Lopes Marques","C1D","233.71","476.79","1055.99",""
"Carine Chapuis","C1D","239.07","391.12","1101.46",""
"Margaux Bandel","C1D","Nt","-","-",""
"Caroline Scherer","C1D","Nt","-","-",""
"Anice Benhacine","C1H","111.85","159.59","139.74",""
"Antoine Gaillard","C1H","122.64","290.33","242.6",""
"Philippe Senechal","C1H","123.67","241.43","252.42",""
"Andy Pajani","C1H","130.7","231.94","319.43",""
"Guillaume Goury","C1H","130.97","226.97","322.01",""
"Francis Gaillard","C1H","132.57","363.99","337.26",""
"Louis Savart","C1H","133.92","349.85","350.13",""
"Benoit Lambour","C1H","141.44","390.5","421.83",""
"Christopher Lucas","C1H","151.44","487.33","517.16",""
"Nicolas Eymaron","C1H","156.83","370.5","568.54",""
"Antoine Leroy","C1H","162.71","588.28","624.59",""
"Matthieu Basset","C1H","165.5","247.65","651.19",""
"Valentin Vibert","C1H","233.6","349.17","1300.4",""
"Pierre Francois","C1H","Nt","-","-",""
"Frederic Morand","C1H","Nt","-","-",""
"Antonin Elne","C1H","Nt","-","-",""
"Jerome Olhagaray","C1H","Nt","-","-",""
"Anthony Goulut","C1H","Nt","-","-",""
"Jean Marc Trenchant","C1H","Nt","-","-",""
"Silvere Desongins","C1H","Nt","-","-",""
"Anthony Deschamps","C1H","Nt","-","-",""
"Francesco Fiorini","C1H","Nt","-","-",""
"Alexis Collin","C1H","Nt","-","-",""
"Charlotte Abba-Manon Galmiche","C2D","190.25","356.6","596.95",""
"Armand Rakowski-Emmanuel Sarazin","C2H","115.82","193.27","127.4",""
"Olivier Bourgey-Andy Pajani","C2H","120.88","226.66","173.44",""
"Jean Baptiste Thiel-Pascal Ferry","C2H","122.39","626.43","187.18",""
"Nathan Robert-Quentin Robert","C2H","128.38","234.26","241.69",""
"Antoine Gaillard-Antonin Elne","C2H","Nt","-","-",""
"Jerome Olhagaray-Jonathan Matern","C2H","Nt","-","-",""
"Emilien Kempf-Silvere Desongins","C2H","Nt","-","-",""
"Jonas Le Morvan-Claire Landrin","C2M","127.39","202.55","154.09",""
"Marie Bourgey-Damien Ferraud","C2M","230.73","776.44","1030.71",""
"Alexandre Lambert-Sarah Rothenbuhler","C2M","273.35","556.48","1392.26",""
"Margaux Bandel-Pierre Francois","C2M","Nt","-","-",""
"Charlotte Abba","K1D","125.14","194.61","181.97",""
"Marine Schmitt","K1D","130.95","271.39","233.44",""
"Ophelia Lopes Marques","K1D","131.49","240.57","238.22",""
"Morgane Charron","K1D","135.01","255.21","269.41",""
"Audrey Astier Perret","K1D","136.79","278.41","285.17",""
"Angelique Guilcher","K1D","139.23","270.52","306.78",""
"Leonie Gachon","K1D","139.86","258.57","312.37",""
"Carla Cerrutti - Bozzola","K1D","144.12","351.19","350.1",""
"Christelle Channac","K1D","144.64","388.98","354.71",""
"Louise Bichet","K1D","146.66","542.64","372.61",""
"Coline Vulliet","K1D","152.09","560.81","420.7",""
"Marion Hacquart","K1D","152.72","290.22","426.28",""
"Charlotte Paulien","K1D","153.8","447.2","435.85",""
"Julie Paulien","K1D","168.14","656.66","562.87",""
"Dora Le Borgne","K1D","171.65","421.52","593.97",""
"Zoe Chinal","K1D","185.29","532.79","714.79",""
"Delphine Vandenberghe","K1D","196.17","597.96","811.18",""
"Nathalie Chapuis","K1D","Nt","-","-",""
"Jennifer Besancon","K1D","Nt","-","-",""
"Margaux Bandel","K1D","Nt","-","-",""
"Caroline Scherer","K1D","Nt","-","-",""
"Marianne Beaumont","K1D","Nt","-","-",""
"Zelie Wendling","K1D","Nt","-","-",""
"Thibaut Bernot","K1H","103.36","150.08","108.07",""
"Armand Rakowski","K1H","103.39","152.8","108.37",""
"Maxime Le Morvan","K1H","104.04","173.89","114.87",""
"Anthony Deschamps","K1H","105.01","143.05","124.58",""
"Thomas Janeriat","K1H","105.38","164.77","128.29",""
"Valentin Vibert","K1H","105.45","133.9","128.99",""
"William Gettliffe","K1H","106.48","172.95","139.3",""
"Sebastien Lepaulard","K1H","106.59","166.74","140.4",""
"Olivier Hardonniere","K1H","107.34","165.59","147.91",""
"Antoine Gaillard","K1H","107.45","195.35","149.01",""
"Antonin Elne","K1H","107.76","115.55","152.11",""
"Julian Othenin-girard","K1H","108.06","181.32","155.11",""
"Thomas Denais","K1H","108.73","225.73","161.82",""
"Titouan Dupras","K1H","108.98","121.31","164.32",""
"Matthieu Duval","K1H","109.25","156.9","167.02",""
"Louis Savart","K1H","109.92","202.15","173.73",""
"Antoine Leroy","K1H","110.11","218.3","175.63",""
"Florent Rambaud","K1H","110.86","210.27","183.14",""
"Aubry Bertin","K1H","110.96","147.48","184.14",""
"Frederic Morand","K1H","111.18","213.43","186.34",""
"Hippolyte Brunier","K1H","111.38","189.35","188.35",""
"Alain Ferry","K1H","111.51","220.07","189.65",""
"Colas Geier","K1H","111.51","210.21","189.65",""
"Hugues Parisse","K1H","111.62","138.48","190.75",""
"Jean Baptiste Thiel","K1H","112.02","127.57","194.75",""
"Xavier Rat","K1H","112.55","245.43","200.06",""
"Sylvain Ferry","K1H","112.8","226","202.56",""
"Clement Travert","K1H","112.94","176.12","203.96",""
"Robin Malenfer","K1H","113.72","312.85","211.77",""
"Romain Delachenal","K1H","113.88","255.42","213.37",""
"Vincent Rat","K1H","114.35","234.7","218.07",""
"Lilian Querry","K1H","114.37","271.29","218.27",""
"Jeremy Boisgibault","K1H","114.48","281.58","219.38",""
"Julien Beltrami","K1H","115.39","189.24","228.48",""
"Anthony Oudot","K1H","116.09","269.96","235.49",""
"Felix Jeanningros","K1H","116.67","177.6","241.3",""
"Francis Gaillard","K1H","116.96","273.78","244.2",""
"Adrien Kaiser","K1H","117.64","224.79","251.01",""
"Sebastien Thevard","K1H","118","208.54","254.61",""
"Maxime Bottex","K1H","119.66","257.05","271.23",""
"Loic Joly","K1H","120.28","314.04","277.43",""
"Clement Gourmelon","K1H","120.44","306.29","279.03",""
"Alexis Chauville","K1H","121.12","378.94","285.84",""
"Arthur Favennec","K1H","123.14","340.81","306.06",""
"Guillaume Armbruster","K1H","123.58","266.87","310.47",""
"Patrick Thevenin","K1H","124.23","358.78","316.97",""
"Theophile Gaillard","K1H","126.79","382.05","342.6",""
"Jordan Bard","K1H","126.96","376.9","344.3",""
"Dylan Bard","K1H","127.09","342.48","345.6",""
"Cyril Gallezot","K1H","127.13","304.25","346",""
"Mathieu Chossat","K1H","128.1","368.66","355.71",""
"Loic Burlet","K1H","129.62","434.29","370.93",""
"Romain Pergaud","K1H","129.72","408.59","371.93",""
"Lucas Barriere","K1H","130.51","444.48","379.83",""
"Elie Miton","K1H","131.93","390.85","394.05",""
"Sebastien Varin","K1H","132.75","299.52","402.26",""
"Victorien Lombard","K1H","134.36","436.61","418.37",""
"Vincent Herrenberger","K1H","135.9","457.31","433.79",""
"Yann Becker","K1H","136.35","319.57","438.29",""
"Keryann Brest","K1H","136.88","408.4","443.6",""
"Benoit Renaudier","K1H","137.9","414.75","453.81",""
"Louis Burignat","K1H","137.91","374.47","453.91",""
"Esteban Le Coz","K1H","140.28","449.07","477.63",""
"Bastien Huguenin","K1H","140.76","448.65","482.43",""
"Corentin Mounier","K1H","144.96","494.91","524.48",""
