"Sélectif Championnat Nationale 2 - Lathus - Finale - 2014-03-30","Finale","2014-03-30","Nationale 2","209"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anne-lise Moisan-ehrwein","C1D","137.55","265.92","280.12","Finale A"
"Caroline Scherer","C1D","146.91","242.22","361.71","Finale A"
"Manon Caveribere","C1D","208.38","253.12","897.53","Finale A"
"Galaad Pereyron","C1H","107.28","153.64","149.85","Finale A"
"Gael Le Noc","C1H","109.84","219.56","175.36","Finale A"
"Armand Rakowski","C1H","110.01","169.85","177.05","Finale A"
"Antoine Gaillard","C1H","110.36","173.52","180.54","Finale A"
"Nadjib Mazar","C1H","110.9","145.23","185.92","Finale A"
"Corentin Oulhen","C1H","111.62","137.25","193.09","Finale A"
"Alexandre Paulais","C1H","114.54","163.43","222.18","Finale A"
"Henri Despont","C1H","114.74","137.99","224.17","Finale A"
"Yves Bourhis","C1H","115.14","217.59","228.16","Finale A"
"Joris Santoro","C1H","115.72","183.48","233.94","Finale A"
"Alexandre Dupas","C1H","116.04","205.54","237.12","Finale A"
"Quentin Desouche","C1H","116.27","247.09","239.41","Finale A"
"Gaetan Hamelin","C1H","117.57","196.72","252.36","Finale A"
"Melenn Aubry","C1H","118.12","178.69","257.84","Finale A"
"Tom Maffeis","C1H","118.9","210.06","265.61","Finale A"
"Frederic Momot","C1H","122.25","254.57","298.99","Finale A"
"Jules Chaumet","C1H","133.12","220.03","407.27","Finale A"
"Nathan Hossin","C1H","165.82","160.43","733.03","Finale A"
"Axelle Armanini-Alicia Gallot","C2D","173.91","406.23","480.45","Finale A"
"Lucas Roisin-Guillaume Graille","C2H","119.75","247.47","219.86","Finale A"
"Christian Boob-Frederic Boob","C2H","121.04","199.46","232.12","Finale A"
"Maxime Perron-Lucas Hives - Sorin","C2H","121.6","135.46","237.44","Finale A"
"Antoine Gaillard-Sebastien Nouvel","C2H","122.66","289.79","247.53","Finale A"
"Emilien Kempf-Silvere Desongins","C2H","125.28","209.09","272.44","Finale A"
"Cedric Forgit-Martin Braud","C2H","130.95","-","326.35","Finale A"
"Martin Braud-Sarah Lyphout","C2M","132.12","255.32","232.79","Finale A"
"Melenn Aubry-Estelle Hellard","C2M","133.36","272.16","243.59","Finale A"
"Celia Jodar-Cedric Forgit","C2M","146.45","276.45","357.7","Finale A"
"Catherine Boulan-Xavier Jourdain","C2M","240.91","330.86","1181.08","Finale A"
"Davy Egraz-Mylene Ferry","C2M","Nt","-","-","Finale A"
"Solene Graille","K1D","111.88","126.54","116.77","Finale A"
"Flora Bove","K1D","113.29","120.95","129.83","Finale A"
"Emeline Oudet","K1D","113.38","163.64","130.66","Finale A"
"Jihane Samlal","K1D","114.1","146.32","137.32","Finale A"
"Joana Palermo","K1D","114.86","116.86","144.36","Finale A"
"Marine Leveque","K1D","116.99","127","164.08","Finale A"
"Marine Schmitt","K1D","117.5","146.44","168.79","Finale A"
"Joey Bercon","K1D","121.07","144.97","201.85","Finale A"
"Anne-sophie Biazizzo","K1D","123.89","141.49","227.95","Finale A"
"Camille Fontaine","K1D","124","208.33","228.97","Finale A"
"Lisa Mouffle","K1D","124.58","213.86","234.34","Finale A"
"Juliette Legendre","K1D","125.29","182.32","240.91","Finale A"
"Romane Prigent","K1D","125.9","239.79","246.55","Finale A"
"Angelique Guilcher","K1D","126.37","147.8","250.91","Finale A"
"Lise Denat","K1D","126.73","203.76","254.23","Finale A"
"Mylene Ferry","K1D","127.92","134.91","265.26","Finale A"
"Elodie Le Nechet","K1D","128.67","237.85","272.19","Finale A"
"Raphaelle Hovine","K1D","129.68","203.85","281.54","Finale A"
"Axelle Armanini","K1D","130.4","231.67","288.21","Finale A"
"Viviana Daille","K1D","131.87","253.7","301.82","Finale A"
"Sarah Lyphout","K1D","133.02","167.39","312.46","Finale A"
"Agathe Chaumet","K1D","136.2","219.49","341.9","Finale A"
"Camille Andrieux","K1D","137.71","162.87","355.87","Finale A"
"Louise Bichet","K1D","140.42","277.23","380.96","Finale A"
"Fanchon Janssen","K1D","140.97","268.03","386.05","Finale A"
"Hind Jamili","K1D","175.43","287.03","705.04","Finale A"
"Oceane Vienet","K1D","179.94","151.66","746.79","Finale A"
"Emilie Lhomme","K1D","193.83","244.72","875.36","Finale A"
"Damien Laborde","K1H","97.29","130.79","98.79","Finale A"
"Clement Travert","K1H","99.49","97.53","121.81","Finale A"
"Benoit Chantry","K1H","100.26","77.47","129.86","Finale A"
"Pol Euzenes","K1H","100.33","113.97","130.59","Finale A"
"Alan Dollo","K1H","100.53","127.65","132.69","Finale A"
"Fabien Le Nechet","K1H","100.77","125.68","135.2","Finale A"
"Damien Launay","K1H","100.94","105.63","136.97","Finale A"
"Adrien Roussel","K1H","101.79","176.92","145.87","Finale A"
"Davy Egraz","K1H","102","105.03","148.06","Finale A"
"Maxime Foucault","K1H","102.29","156.89","151.1","Finale A"
"Maxime Tilhet","K1H","102.34","116.6","151.62","Finale A"
"Florian Campagnole","K1H","102.42","143.52","152.46","Finale A"
"Guillaume Graille","K1H","102.44","102.61","152.66","Finale A"
"Nicolas Labat","K1H","102.64","94.66","154.76","Finale A"
"Vincent Ablin","K1H","102.67","149.75","155.07","Finale A"
"Mehdi Rouich","K1H","102.69","144.11","155.28","Finale A"
"Pierre Hellard","K1H","103.11","169.5","159.67","Finale A"
"Florient Tagnon","K1H","103.15","126.61","160.09","Finale A"
"Vincent Bocci","K1H","103.33","121.11","161.97","Finale A"
"Kilian Blot","K1H","103.59","117.41","164.69","Finale A"
"Jerome Olhagaray","K1H","103.6","96.13","164.8","Finale A"
"Edgar Prigent","K1H","103.75","140.1","166.37","Finale A"
"Malo Quemeneur","K1H","103.8","115.77","166.89","Finale A"
"Charles Edouard Dherment","K1H","103.8","121.69","166.89","Finale A"
"Loic Monbel","K1H","104.16","127.75","170.66","Finale A"
"Anthony Mottais","K1H","104.37","109.69","172.85","Finale A"
"Titouan Dupras","K1H","104.38","146.6","172.96","Finale A"
"Remi Quentin","K1H","104.46","200.89","173.79","Finale A"
