"SÈlectif RÈgional Slalom (Double) - St Pierre De Boeuf - Course n∞2 | Finale - 2018-10-14","Course n∞2 | Finale","2018-10-14","RÈgional","284"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Angele Hug","C1D","116.35","149.35","222.37","Course n∞2 | Finale A"
"Tifenn Primet","C1D","118.24","253.48","242.14","Course n∞2 | Finale A"
"Caroline Scherer","C1D","118.75","318.72","247.47","Course n∞2 | Finale A"
"Lea Grison","C1D","122.49","269.33","286.57","Course n∞2 | Finale A"
"Mylene Ferry","C1D","123.03","415.01","292.22","Course n∞2 | Finale A"
"Alice Evlachev","C1D","140.41","378.4","473.94","Course n∞2 | Finale A"
"Eve Vitali-guilbert","C1DM","162.39","611.04","703.76","Course n∞2 | Finale A"
"Baptiste Delaplace","C1H","93.22","109.97","119.77","Course n∞2 | Finale A"
"Sebastien De Kerleau","C1H","94.5","71.22","135.07","Course n∞2 | Finale A"
"Adrien Fischer","C1H","96.11","147.66","154.31","Course n∞2 | Finale A"
"Loic Trenchant","C1H","102.86","218.68","234.97","Course n∞2 | Finale A"
"Gabin Siau","C1H","104.88","237.26","259.1","Course n∞2 | Finale A"
"Gauthier Gonseth","C1H","105.07","305.36","261.38","Course n∞2 | Finale A"
"Benjamin Guyon","C1H","105.76","398.1","269.62","Course n∞2 | Finale A"
"Laurent Coudurier","C1H","105.77","331.98","269.73","Course n∞2 | Finale A"
"Etienne Wiche","C1H","106.15","313.77","274.28","Course n∞2 | Finale A"
"Stephane Abadie","C1H","106.55","346.95","279.06","Course n∞2 | Finale A"
"Benjamin Maubert","C1H","108.22","537.17","299.02","Course n∞2 | Finale A"
"Alexandre Pons","C1H","110.86","331.19","330.56","Course n∞2 | Finale A"
"Marvin Tulpin","C1H","112.9","195.44","354.94","Course n∞2 | Finale A"
"Patrice Campioni","C1H","113.04","391.36","356.61","Course n∞2 | Finale A"
"Enki Georgel","C1H","114.44","383.15","373.34","Course n∞2 | Finale A"
"Robin Andre","C1H","122.71","453.99","472.17","Course n∞2 | Finale A"
"Maxime Devis","C1HM","128.86","633.99","545.66","Course n∞2 | Finale A"
"Evan Trenchant","C1HM","139.51","710.54","672.92","Course n∞2 | Finale A"
"Gaspard Gonseth","C1HM","151.87","868.69","820.61","Course n∞2 | Finale A"
"Titouan Carbon","C1HM","Abd","-","-","Course n∞2 | Finale A"
"Tifenn Primet-Alice Evlachev","C2D","161.88","748.59","568.23","Course n∞2 | Finale A"
"Nicolas Detheve-Nil Georgel","C2H","114.41","395.95","310.84","Course n∞2 | Finale A"
"Gauthier Gonseth-Guillaume Gonseth","C2H","120.11","526.34","375.86","Course n∞2 | Finale A"
"Etienne Wiche-Benjamin Guyon","C2H","128.42","639.09","470.64","Course n∞2 | Finale A"
"Kilian Godart-Baptiste Podor","C2H","Abs","-","-","Course n∞2 | Finale A"
"Titouan Sourieau-Jules Sourieau","C2HM","138.33","715.9","583.69","Course n∞2 | Finale A"
"Nil Georgel-Anneline Triomphe","C2M","121.31","309.24","274.24","Course n∞2 | Finale A"
"Caroline Scherer-Kilian Godart","C2M","129.98","434.79","364.89","Course n∞2 | Finale A"
