"Sélectif N2 - Annemasse - 2001-04-29","Course 1","2001-04-29","Nationale 2","138"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lionel Schweitzer","C1H","220.76","-","131",""
"Pierre Gelle","C1H","221.31","-","133",""
"Collard Aurelien","C1H","228.86","-","166",""
"Dumont Thierry","C1H","232.19","176","180",""
"Stephane Abadie","C1H","232.31","-","181",""
"Pascal Buck","C1H","233.6","-","186",""
"Collin Ludovic","C1H","236.94","-","200",""
"Boris Parent","C1H","237.09","-","201",""
"Olivier Barriere","C1H","241.7","-","221",""
"Biselx Thomas","C1H","242.54","-","225",""
"Loic Marechal","C1H","246.59","-","242",""
"Rauturier Armand","C1H","250.62","-","259",""
"Elien Wilfried","C1H","250.65","-","259",""
"Gay Michel","C1H","256.59","-","285",""
"Nil Georgel","C1H","260.42","-","301",""
"Gauthier Gonseth","C1H","260.48","-","302",""
"Besseau Alexandre","C1H","262.88","-","312",""
"Philippe Thevenin","C1H","266.88","-","329",""
"Masson Gwenael","C1H","266.99","-","330",""
"Salembier Ludovic","C1H","268.38","-","336",""
"Philippe Senechal","C1H","268.87","-","338",""
"Herbertz Guillaume","C1H","271.51","-","349",""
"Molines Philippe","C1H","276.27","-","370",""
"Gosset Dominik","C1H","291.79","-","436",""
"Frederic Saguet","C1H","300.48","-","474",""
"Olivier Arette Hourquet","C1H","318.69","-","552",""
"Lamy Victor- Daille Jerome","C2H","232.12","-","93",""
"Daille Bertrand- Biau Eric","C2H","247.96","-","155",""
"Ganthier Damiens- Gauchotte David","C2H","248.37","-","157",""
"Guillaume Gonseth-Nicolas Detheve","C2H","251.96","-","171",""
"Guillaume Benoit- Pitman Arnaud","C2H","303.03","199","371",""
"Clerc Herve- Clerc Pierrealain","C2H","311.15","-","403",""
"Bouchard Vincent- Cliquet Kevine","C2H","369.42","-","632",""
"Gilles Schweitzer-Loic Sieber","C2H","378.45","-","667",""
"Dubois Philippe- Tamburini Florent","C2H","474.55","-","1045",""
"Carole Bouzidi","K1D","250.57","-","165",""
"Fanny Mino-vercellio","K1D","251.66","-","170",""
"Thome Celine","K1D","253.00","-","175",""
"Tanet Lucie","K1D","256.99","-","191",""
"Dejours Nelly","K1D","257.82","-","194",""
"Poix Sophie","K1D","257.98","-","194",""
"Julie Labarelle","K1D","258.5","-","196",""
"Aubert Laetitia","K1D","267.05","-","230",""
"Guindeo Mariepierre","K1D","268.18","-","234",""
"Leger Elodie","K1D","272.75","-","252",""
"Leleu Sophie","K1D","275.38","-","263",""
"Cornevin Maud","K1D","275.52","-","263",""
"Frotey Floriane","K1D","276.46","-","267",""
"Borg Julie","K1D","277.73","202","272",""
"Hugue Coraline","K1D","280.15","-","281",""
"Hubert Sandrine","K1D","281.56","-","287",""
"Schweitzer Pascale","K1D","288.41","-","314",""
"Sylvie Metz","K1D","292.41","-","330",""
"Ledoux Anne","K1D","298.73","-","354",""
"Marechal Brigitte","K1D","299.19","-","356",""
"Cornevin Angelique","K1D","301.58","-","366",""
"Laure Vierne","K1D","301.81","-","367",""
"Riesenmey Caroline","K1D","305.12","-","380",""
"Sohy Laurence","K1D","309.45","-","397",""
"Jihane Samlal","K1D","309.8","-","398",""
"Vanderkam Buisson Maelle","K1D","318.38","-","432",""
"Barroso Cyrielle","K1D","320.78","343","441",""
"Fleureau Domitille","K1D","323.03","-","450",""
"Clotilde Miclo","K1D","333.24","-","490",""
"Royle Kay","K1D","362.63","-","605",""
"Thomas Nadege","K1D","370.27","-","635",""
"Marie Ringeisen","K1D","373.68","-","649",""
"Morere Julia","K1D","388.17","-","706",""
"Audrey Metz","K1D","389.29","-","710",""
"Sarah Michel","K1D","392.26","-","722",""
"Mylene Renaud","K1D","418.5","-","825",""
"Lutinier Michelle","K1D","448.63","-","943",""
"Amini Leila","K1D","522.45","-","1233",""
"Guillaume Picco","K1H","205.83","-","111",""
"Jean Christophe Boivin","K1H","206.98","-","116",""
"Lesquer David","K1H","207.52","-","119",""
"Pierre Pans","K1H","207.63","-","119",""
"Basquin Jeanbaptiste","K1H","209.87","-","129",""
"Jean Charles Creusot Walter","K1H","210.32","-","131",""
"Nivel Cyril","K1H","210.59","349","132",""
"Johan De Mareuil","K1H","211.34","-","136",""
"Pierre Bourliaud","K1H","211.81","-","138",""
"Christophe Siffert","K1H","212.13","-","139",""
"Saint Girons Thomas","K1H","212.33","178","140",""
"Gregory Booth","K1H","212.4","-","141",""
"Colliex Olivier","K1H","212.48","-","141",""
"Sebastien Lepaulard","K1H","213.58","-","146",""
"Bernard Babi","K1H","216.12","-","157",""
"Charlot Thibaut","K1H","216.14","-","157",""
"Pala Mathieu","K1H","216.73","-","160",""
"Despax Cedric","K1H","217.06","-","162",""
"Gogois Virgile","K1H","217.36","-","163",""
"Bertrand Bercon","K1H","218.3","-","167",""
"Pascal Hunault","K1H","218.79","-","169",""
"Xavier Marie","K1H","218.99","-","170",""
"Guillaume Maraquin","K1H","219.32","-","172",""
"Michel Ragot","K1H","220.09","-","175",""
"Alexandre Schall","K1H","221.43","-","181",""
"Bazin Patryce","K1H","223.59","-","191",""
"Grandemange Jeanleonard","K1H","223.78","-","192",""
"Antoine Dufrene","K1H","225.13","-","198",""
"Jeanmaire Cyril","K1H","226.79","-","206",""
"Damien Boudet","K1H","227.15","279","207",""
"Michael Guyon","K1H","227.71","-","210",""
"Tisseur Nicaise Florent","K1H","228.75","396","214",""
"Maxime Faivre","K1H","228.93","-","215",""
"Muller Aurelien","K1H","229.12","195","216",""
"Mathieu Arnaud","K1H","230.1","-","220",""
"Piquard Charles","K1H","230.73","-","223",""
"Ysern Renaud","K1H","232.94","-","233",""
"Weber Nicolas","K1H","233.92","-","238",""
"Julien Beltrami","K1H","234.72","-","241",""
"Sebastien Thevenin","K1H","234.81","-","242",""
"Demange Marc","K1H","235.82","-","246",""
"Louis Philippe Rigal","K1H","236.99","-","252",""
"Texier Jeremy","K1H","237.36","-","253",""
"Manoussos Nicolas","K1H","238.00","-","256",""
"Ballini Yoann","K1H","240.05","-","265",""
"Christophe Gosselin","K1H","240.4","-","267",""
"Christophe Billaud","K1H","241.87","-","274",""
"Campioni Patrice","K1H","242.14","-","275",""
"Bruet Aurelien","K1H","243.18","-","280",""
"Girard Adrien","K1H","244.56","238","286",""
