"Sélectif Régional - Orléans pont royal - 2012-10-28","Course 3","2012-10-28","Régional","105"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Charlotte Lubineau","C1D","136.37","-","359.4",""
"Elodie Delavelle","C1D","139.16","372.5","387.39",""
"Lucie Baudu","C1D","171.53","196.94","712.24",""
"Lou Galliot","C1D","192.31","-","920.79",""
"Julie Dequeant","C1D","263.66","-","1636.83",""
"Suzon Broute","C1D","Nt","-","-",""
"Kilian Foulon","C1H","95.35","16.79","66.2",""
"Yann Basille","C1H","96.54","84.34","79.63",""
"Charly Chassigneux","C1H","97.39","30.17","89.21",""
"Paul Tallet Pinet","C1H","103.58","131.69","159.02",""
"Romain Faurie","C1H","105.12","-","176.39",""
"Benjamin Thouvignon","C1H","106.08","-","187.22",""
"Fabien Tournadre","C1H","106.26","117.17","189.25",""
"Nicolas Thomas","C1H","108.27","317.76","211.91",""
"Benoit Lambour","C1H","112.9","299.55","264.14",""
"Antoine Jonin","C1H","112.92","336.87","264.36",""
"Mathieu Delorme","C1H","115.2","-","290.07",""
"Boris Sacre","C1H","115.82","241.17","297.07",""
"Etienne Nardeau","C1H","118.39","-","326.05",""
"Nathan Rene Corail","C1H","120.86","291.02","353.91",""
"Jacques Nardeau","C1H","121.69","343.39","363.27",""
"Timothee Le Mort","C1H","123.43","-","382.89",""
"Christopher Lucas","C1H","124.51","323.15","395.08",""
"Christophe Billaud","C1H","142.25","477.38","595.15",""
"Pierre Chassigneux","C1H","149.39","-","675.67",""
"Raphael Licoine-mercy","C1H","165.13","380.55","853.2",""
"Mael Poirier","C1H","233.87","-","1628.45",""
"Valentin Blondel","C1H","Nt","-","-",""
"Stephane Broute","C1H","Nt","-","-",""
"Charly Chassigneux-Fabien Tournadre","C2H","111.34","59.23","189.46",""
"Thomas De Boysson-Childeric Thoreau","C2H","128.38","-","372.91",""
"Paul Tallet Pinet-Nicolas Leconte","C2H","131.05","-","401.65",""
"Stephane Broute-Xavier Jourdain","C2H","Nt","-","-",""
"Raphael Cuillerdier-Manon Moreau","C2M","156.67","-","563.11",""
"Lucie Baudu","K1D","99.16","20.7","30",""
"Charlotte Lubineau","K1D","109.14","135.72","134.59",""
"Tifenn Van Delft","K1D","116.03","204.61","206.79",""
"Charlene Tabourin","K1D","121.97","289.06","269.04",""
"Lou Galliot","K1D","131.78","406.7","371.84",""
"Manon Moreau","K1D","132.42","294.42","378.56",""
"Julie Dequeant","K1D","149.52","1795.54","557.76",""
"Jennifer Perouelle","K1D","168.02","-","751.63",""
"Manon Louis","K1D","178.58","1019.3","862.29",""
"Suzon Broute","K1D","Nt","-","-",""
"Joffrey Lemeux","K1H","90.74","92.76","65.38",""
"Louis Philippe Rigal","K1H","90.89","55.68","67.16",""
"Fabien Tournadre","K1H","92.81","54.52","89.89",""
"Romain Faurie","K1H","94.83","57.69","113.82",""
"Jerome Trousson","K1H","95.23","-","118.55",""
"Benjamin Thouvignon","K1H","96.18","86.76","129.8",""
"Boris Sacre","K1H","96.26","59.12","130.75",""
"Kilian Foulon","K1H","96.94","151.68","138.8",""
"Jan Baudet","K1H","96.95","195.83","138.92",""
"Antonin Dalaine","K1H","98.94","179.79","162.49",""
"Simon Philibert","K1H","99.01","142.24","163.32",""
"Simon Deboysson","K1H","99.48","-","168.88",""
"Childeric Thoreau","K1H","99.61","-","170.42",""
"Mathieu Delorme","K1H","101.27","225.29","190.08",""
"Timothee Le Mort","K1H","103.61","163.07","217.79",""
"Guillaume Arnaud","K1H","105.17","-","236.26",""
"Antoine Jonin","K1H","105.78","189.5","243.49",""
"Jerome Talbot","K1H","106.42","313.91","251.06",""
"Valentin Blondel","K1H","106.79","185.56","255.45",""
"Martin Grezard","K1H","107.92","351.44","268.83",""
"Guillaume De Fierville","K1H","110.63","282","300.92",""
"Raphael Cuillerdier","K1H","113.68","285.94","337.04",""
"Maxime Pilard","K1H","114.01","294.84","340.95",""
"Thomas De Boysson","K1H","115.66","223.66","360.48",""
"Pierrick Meheust","K1H","116.36","405.73","368.77",""
"Nathan Dalaine","K1H","116.54","425.38","370.91",""
"David Couture","K1H","117.7","-","384.64",""
"Nicolas Leconte","K1H","117.8","-","385.83",""
"Pierre Knittel","K1H","117.81","-","385.95",""
"Nicolas Thomas","K1H","117.99","-","388.08",""
"Christophe Cartault","K1H","119.14","-","401.69",""
"Benoit Ropital","K1H","119.94","-","411.17",""
"Arnaud Hery","K1H","120.81","-","421.47",""
"Alexandre Buchet","K1H","124.19","-","461.5",""
"Nathan Rene Corail","K1H","125.19","-","473.34",""
"Nicolas Petipez","K1H","127.36","523.66","499.04",""
"Aymeric Normand","K1H","128.35","-","510.76",""
"Ghislain Guyon","K1H","129.05","-","519.05",""
"Clement Bleuet","K1H","129.64","674.17","526.04",""
"Augustin Sacaze","K1H","130.96","-","541.67",""
"Eric Pouradier","K1H","133.44","-","571.04",""
"Joseph Grelier","K1H","134.35","-","581.81",""
"Lionel Lesage","K1H","136.66","-","609.17",""
"Benjamin Chausson","K1H","137.34","-","617.22",""
"Clement Auchat","K1H","139.42","-","641.85",""
"Steve Bruniquel","K1H","141.05","516.51","661.15",""
"Emeryck Guerreiro","K1H","143.77","455.84","693.36",""
"Nicolas Benard","K1H","153.39","-","807.28",""
"Nicolas Arnoult","K1H","153.42","-","807.64",""
"Gregoire Moury","K1H","163.71","298.52","929.49",""
"Gerard Cartier","K1H","167.48","-","974.14",""
"Fabrice Barras","K1H","170.79","-","1013.34",""
"Antoine Prinzbach","K1H","173.27","-","1042.7",""
"Nicolas Dequeant","K1H","187.65","-","1212.99",""
"Jean-marc Vallee","K1H","259.15","-","2059.7",""
"Jean-noel Avril","K1H","Nt","-","-",""
"Jacques Nardeau","K1H","Nt","-","-",""
"Josquin Dubois","K1H","Nt","-","-",""
"Vincent Nicolosi","K1H","Nt","-","-",""
"Stephane Broute","K1H","Nt","-","-",""
"Goulwen Chapelier","K1H","Nt","-","-",""
