"Sélectif Régional - Sélestat - 2013-09-29","Course 3","2013-09-29","Régional","162"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anna Wider","C1D","132.14","-","322.88",""
"Azenor Philip","C1D","132.75","245.01","329.3",""
"Andrea Gratwohl","C1D","135.41","-","357.25",""
"Elodie Delavelle","C1D","139.98","369.36","405.29",""
"Saskia De Bruijn","C1D","143.15","327.68","438.6",""
"Claire Haab","C1D","148.81","-","498.09",""
"Laurine Grandadam","C1D","155.18","490.6","565.04",""
"Ophelia Lopes Marques","C1D","158.84","449.12","603.51",""
"Mylene Pellizzoni","C1D","166.55","-","684.55",""
"Sarah Rothenbuhler","C1D","175.43","640.12","777.88",""
"Florianne Gautier","C1D","Nt","-","-",""
"Pierre Marie Roussel","C1H","109.34","147.18","225.52",""
"Simon Werro","C1H","110.13","-","234.86",""
"Medhi Deguil","C1H","110.28","76.5","236.64",""
"Philippe Thevenin","C1H","110.42","140.43","238.28",""
"Emmanuel Walczak","C1H","112.98","194.86","268.52",""
"Simon Clerc","C1H","117.8","203.85","325.45",""
"Nathan Robert","C1H","117.93","251.29","326.99",""
"Xavier Sucker","C1H","118.43","81.07","332.89",""
"Manuel Munsch","C1H","118.99","-","339.52",""
"Jeremias Schlaefli","C1H","119.23","-","342.33",""
"Olivier Urbain","C1H","119.95","238.11","350.85",""
"Thibaut Chariot","C1H","121.85","292.28","373.3",""
"Laurent Starck","C1H","123.14","-","388.53",""
"Charlie Barbier","C1H","124.31","-","402.34",""
"Lucas Hemmerle","C1H","131.33","388.13","485.27",""
"Tom Caspar","C1H","131.59","277.53","488.34",""
"Anthony Ulrich","C1H","139.01","-","575.98",""
"Pascal Philip","C1H","147","353.1","670.36",""
"Marc Jegou","C1H","150.83","-","715.61",""
"Kyle Gelb","C1H","154.85","-","763.08",""
"Paul Frommer","C1H","160.33","-","827.82",""
"Dylan Hirtz","C1H","Nt","-","-",""
"Nathan Barbier","C1H","Nt","-","-",""
"Maxence Grandadam","C1H","Nt","-","-",""
"Arnaud Pellizzoni","C1H","Nt","-","-",""
"Jean Marc Trenchant","C1H","Nt","-","-",""
"Azenor Philip-Thais Francois","C2D","152.02","-","442.35",""
"Lukas Werro-Simon Werro","C2H","110.26","-","177.19",""
"Arnaud Pellizzoni-Maxence Grandadam","C2H","127.47","-","371.24",""
"Philippe Thevenin-Patrick Thevenin","C2H","134.35","226.01","448.8",""
"Tom Caspar-Lucas Hemmerle","C2H","138.64","391.37","497.17",""
"Marc Jegou-Pascal Philip","C2H","140.86","-","522.22",""
"Liam Jegou-Louis Lombardi","C2H","141.87","-","533.6",""
"Nathan Barbier-Thibaut Chariot","C2H","Nt","-","-",""
"Medhi Deguil-Betty Merand","C2M","122.02","111.38","216.51",""
"Andrea Gratwohl-Lukas Werro","C2M","122.72","-","223.88",""
"Simon Werro-Anna Wider","C2M","123.95","-","236.8",""
"Claire Haab-Pierre Marie Roussel","C2M","125.83","176.25","256.56",""
"Sarah Michel-Thibaut Chariot","C2M","135.41","-","357.25",""
"Maeva Auriol-Loic Thielen","C2M","158.56","-","600.57",""
"Sandra Carisey-Alexis Caspar","C2M","164.02","-","657.96",""
"Florianne Gautier-Emmanuel Walczak","C2M","Nt","-","-",""
"Andrea Gratwohl","K1D","115.52","133.71","201.92",""
"Azenor Philip","K1D","120.37","178.97","255.15",""
"Elodie Delavelle","K1D","120.61","183.26","257.79",""
"Claire Haab","K1D","120.78","126.53","259.65",""
"Laurine Grandadam","K1D","128.43","173.51","343.62",""
"Anna Wider","K1D","128.52","-","344.61",""
"Sarah Michel","K1D","128.55","188.59","344.93",""
"Ophelia Lopes Marques","K1D","129.67","202.56","357.22",""
"Cecile Meichel","K1D","130.91","270.01","370.84",""
"Celine Denizon","K1D","133.42","-","398.39",""
"Camille Zumstein","K1D","135.09","381.22","416.71",""
"Anais Mouhoub","K1D","135.87","-","425.27",""
"Saskia De Bruijn","K1D","138.84","-","457.87",""
