"Slalom Régional - Sélestat - 2011-09-24","Course 1","2011-09-24","Régional","158"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Charlotte Abba","C1D","120.05","156.75","189.18",""
"Florianne Gautier","C1D","122.67","-","214.96",""
"Anne Traband","C1D","128.41","-","271.44",""
"Manon Galmiche","C1D","133.56","329.85","322.1",""
"Emma Maujean","C1D","133.57","389.77","322.21",""
"Saskia De Bruijn","C1D","136.63","316.99","352.31",""
"Anne-sophie Biazizzo","C1D","138.97","371.34","375.33",""
"Laurine Grandadam","C1D","139.77","-","383.21",""
"Claire Haab","C1D","140.96","-","394.92",""
"Ophelia Lopes Marques","C1D","142.85","679.39","413.51",""
"Andrea Gratwohl","C1D","Nt","-","-",""
"Marcantoine Hacquart","C1H","106.57","145.71","186.37",""
"Julian Othenin-girard","C1H","106.64","148.68","187.15",""
"Philippe Thevenin","C1H","107.42","182.44","195.77",""
"Liam Jegou","C1H","107.48","150.5","196.43",""
"Pierre Marie Roussel","C1H","109.15","176.38","214.89",""
"Xavier Sucker","C1H","109.81","68.34","222.2",""
"Anice Benhacine","C1H","110.61","312.34","231.04",""
"Jan Pischek","C1H","112.6","159.76","253.05",""
"Jean Marc Trenchant","C1H","114.25","309.55","271.3",""
"Bertrand Gutierrez","C1H","115.22","-","282.01",""
"Olivier Urbain","C1H","116.71","273.67","298.49",""
"Jean-baptiste Wolff","C1H","116.79","284.95","299.38",""
"Thibaut Chariot","C1H","120.53","479.59","340.72",""
"Philippe Godinat","C1H","120.59","-","341.4",""
"Mathieu Douillet","C1H","122.16","337.16","358.76",""
"Guillaume Goury","C1H","122.47","300.46","362.18",""
"Louis Savart","C1H","124.93","379.13","389.38",""
"Laurent Starck","C1H","128.03","399.81","423.66",""
"Clement Travert","C1H","128.46","-","428.42",""
"Nicolas Germay","C1H","130.34","-","449.2",""
"Tennessee Bernard","C1H","133","1490.64","478.62",""
"Matthieu Duval","C1H","134.09","-","490.67",""
"Robin Luna","C1H","136.18","819.17","513.77",""
"Florian Baumann","C1H","145.24","-","613.96",""
"Antoine Leroy","C1H","145.6","-","617.94",""
"Maxence Grandadam","C1H","175.92","356.77","953.2",""
"Lukas Werro","C1H","Nt","-","-",""
"Nathan Barbier","C1H","Nt","-","-",""
"Pascal Philip","C1H","Nt","-","-",""
"Florianne Gautier-Anne Traband","C2D","126.81","228.92","185.82",""
"Charlotte Abba-Manon Galmiche","C2D","139.94","-","307.78",""
"Xavier Sucker-Jean-baptiste Wolff","C2H","114.31","-","214.5",""
"Marcantoine Hacquart-Bertrand Gutierrez","C2H","117.47","165.53","247.86",""
"Nathan Robert-Quentin Robert","C2H","117.65","236.4","249.76",""
"Anice Benhacine-Tennessee Bernard","C2H","118.11","270.51","254.61",""
"Julian Othenin-girard-Liam Jegou","C2H","119.82","-","272.65",""
"Laurent Starck-Nicolas Burgi","C2H","136.3","-","446.6",""
"David Marechal-Eddy Cassard","C2H","140.37","387.3","489.56",""
"Laurent Graillot-Antoine Leroy","C2H","146.07","-","549.72",""
"Nathan Barbier-Maxence Grandadam","C2H","147.65","-","566.39",""
"Robin Luna-Corentin Leroy","C2H","222.16","-","1352.83",""
"Claire Haab-Pierre Marie Roussel","C2M","118.49","217.86","173.83",""
"Xavier Sucker-Anne Traband","C2M","125.16","-","239.46",""
"Emma Maujean-Louis Savart","C2M","158.51","482.76","567.6",""
"Andrea Gratwohl-Lukas Werro","C2M","Nt","-","-",""
"Anneline Triomphe","K1D","106.96","24.66","106.95",""
"Florianne Gautier","K1D","111","148.17","148.46",""
"Anne Traband","K1D","113.51","160.36","174.25",""
"Anne-sophie Biazizzo","K1D","114.59","152.28","185.35",""
"Oceane Vienet","K1D","115.86","218.45","198.4",""
"Laurine Grandadam","K1D","117.48","286.23","215.05",""
"Claire Haab","K1D","118.06","212.72","221",""
"Ophelia Lopes Marques","K1D","122.16","293.77","263.12",""
"Emma Maujean","K1D","122.38","299.66","265.39",""
"Christelle Gilg","K1D","123.61","-","278.02",""
"Cecile Meichel","K1D","125.75","-","300.01",""
"Marion Hacquart","K1D","125.83","301.03","300.83",""
"Sarah Rothenbuhler","K1D","128.56","310.18","328.88",""
"Saskia De Bruijn","K1D","129.48","-","338.33",""
"Sylvaine Louis","K1D","129.5","-","338.54",""
"Julie Baumann","K1D","129.67","-","340.28",""
"Sabrina Boespflug","K1D","130.02","447.07","343.88",""
"Marlene Dumoulin","K1D","131.82","323.46","362.38",""
"Zelie Wendling","K1D","132.62","-","370.6",""
"Camille Billerach","K1D","138.63","-","432.34",""
"Justine Sautre","K1D","140.23","422.23","448.78",""
"Margaux Bandel","K1D","142.07","-","467.69",""
"Anne Laure Defrance","K1D","151.54","-","564.99",""
"Noemie Hauss","K1D","158.93","-","640.92",""
"Andrea Gratwohl","K1D","Nt","-","-",""
"Pierre Marie Roussel","K1H","91.97","18.84","75.78",""
