"Slalom Régional - Châteauneuf sur Cher - 2011-10-15","Course 1","2011-10-15","Régional","75"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Charlene Tabourin","C1D","387.4","-","2794.39",""
"Paul Tallet Pinet","C1H","105.78","164.92","206.26",""
"Fabien Tournadre","C1H","106.25","176.01","211.34",""
"Fabien Perruchet","C1H","115.26","306.3","308.94",""
"Yann Gudefin","C1H","119.52","317.95","355.09",""
"Cyril Leblond","C1H","120.62","305.66","367",""
"Etienne Nardeau","C1H","123.79","320.43","401.33",""
"Kevin Wos","C1H","127.33","-","439.68",""
"Adrien Picco","C1H","130.3","-","471.85",""
"Benjamin Tindiliere","C1H","135.55","-","528.71",""
"Jacques Nardeau","C1H","139.26","375.72","568.91",""
"Thibaut Chadeyron","C1H","144.04","537.24","620.68",""
"Mathieu Septier","C1H","184.67","-","1060.77",""
"Frederic Martin","C1H","184.91","461.53","1063.37",""
"Anthony Randisi","C1H","216.45","-","1405.01",""
"Maxence Auvray","C1H","Nt","-","-",""
"Paul Tallet Pinet-Nicolas Leconte","C2H","129.05","-","394.77",""
"David Couture-Jordy Pichot","C2H","155.41","834.25","667.32",""
"Florian Vinet-Renaud Mary","C2H","206.06","-","1191",""
"Flora Huvelin","K1D","109.86","166.54","166.2",""
"Manon Moreau","K1D","130.79","442.09","376.86",""
"Laurie Anne Sabatier","K1D","134.96","-","418.84",""
"Charlene Tabourin","K1D","138.04","319.03","449.83",""
"Angele Picco","K1D","150.19","-","572.11",""
"Lou Galliot","K1D","161.35","-","684.45",""
"Alyson Barriere","K1D","339.1","-","2473.48",""
"Yann Gudefin","K1H","88.46","13.35","66.56",""
"Fabien Tournadre","K1H","93.98","81.45","129.34",""
"Simon Philibert","K1H","94.07","141.81","130.36",""
"Sullivan Porcher","K1H","97.47","140.59","169.03",""
"Antoine Beguer","K1H","101.38","206.08","213.5",""
"Benjamin Jacon","K1H","105.44","284.29","259.68",""
"Yoann Turowsky","K1H","106.26","200.21","269",""
"Lionel De Miranda","K1H","106.76","274.65","274.69",""
"Fabien Perruchet","K1H","106.98","217.31","277.19",""
"Julien Lafeuille","K1H","108.7","268.6","296.76",""
"Adrien Picco","K1H","109.4","228.29","304.72",""
"Florian Vinet","K1H","110.23","325","314.16",""
"Alex Piotte","K1H","110.46","397.36","316.77",""
"Ludovic Couture","K1H","111.21","326.05","325.3",""
"David Couture","K1H","112.48","329.38","339.75",""
"Kevin Wos","K1H","113.73","303.15","353.96",""
"Kevin Chalopin","K1H","114.35","-","361.01",""
"Vincent Nicolosi","K1H","114.79","251.95","366.02",""
"Raphael Cuillerdier","K1H","115.26","395.77","371.36",""
"Vincent Gisbert","K1H","115.41","-","373.07",""
"Anthony Randisi","K1H","116.14","-","381.37",""
"Benjamin Tindiliere","K1H","116.5","456.17","385.47",""
"Jordy Pichot","K1H","117.34","394.97","395.02",""
"Jean-noel Avril","K1H","118.87","308.22","412.42",""
"Nicolas Leconte","K1H","123.22","339.12","461.9",""
"Baptiste Podor","K1H","125.3","390.88","485.55",""
"Mathieu Septier","K1H","130.69","-","546.85",""
"Louis Benezit","K1H","130.88","-","549.02",""
"Nicolas Vaz Da Costa","K1H","131.53","388.73","556.41",""
"Nicolas Petipez","K1H","131.92","509.09","560.84",""
"Maxime Parigot","K1H","133.53","-","579.15",""
"Emeryck Guerreiro","K1H","142.49","-","681.06",""
"Maxime Benay","K1H","153.75","-","809.12",""
"Henri Molet","K1H","153.99","643.69","811.85",""
"Loic Vichard","K1H","155.25","-","826.18",""
"Jean Hilaire","K1H","157.16","-","847.91",""
"Maurice Pubert","K1H","159","689.29","868.83",""
"Mathieu Ferreira","K1H","166.28","495.04","951.63",""
"Claude Breuzard","K1H","180.9","533.51","1117.91",""
"Maxime Pierre","K1H","225.7","-","1627.43",""
"Thomas Delaigre","K1H","257.28","1011.58","1986.6",""
"Nicolas Deshors","K1H","Nt","-","-",""
"Tom Guitard","K1H","Nt","-","-",""
"Swann Vingerder","K1H","Nt","-","-",""
"Maxence Auvray","K1H","Nt","-","-",""
"Corentin Normand","K1H","Nt","-","-",""
"Sylvain Saigne","K1H","Nt","-","-",""
"Guillaume Beaurepaire","K1H","Nt","-","-",""
"Thomas De Boysson","K1H","Nt","-","-",""
