"Sélectif National 2 - Corbeil-Essonnes - 2009-03-08","Course 1","2009-03-08","Nationale 2","241"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anne Boixel","C1D","258.95","205","142",""
"Caroline Loir","C1D","263.33","155","159",""
"Claire Landrin","C1D","270.77","235","187",""
"Claire Jacquet","C1D","281.76","246","230",""
"Come Hebert","C1H","223.23","142","111",""
"Evence Granger","C1H","224.29","128","116",""
"Quentin Bove","C1H","227.58","159","129",""
"Thomas Koechlin","C1H","228.14","168","132",""
"Renaud Doby","C1H","229.97","141","140",""
"Leo Thomas","C1H","231.51","135","146",""
"Kilian Foulon","C1H","233.17","98","154",""
"Abdelkrim Ali Zazou","C1H","233.85","203","157",""
"Solen Le Bourles","C1H","234.12","202","158",""
"Christophe Augu","C1H","237.75","190","174",""
"Stephane Abadie","C1H","237.76","121","174",""
"Lorrie Delattre","C1H","237.99","172","175",""
"Simon Le Friec","C1H","238.76","206","178",""
"Jonathan Matern","C1H","241.28","197","189",""
"Thibault Blaise","C1H","241.97","211","192",""
"Martin Darees","C1H","242.58","171","194",""
"Hugo Chauvary","C1H","242.59","182","194",""
"Xavier Jourdain","C1H","242.88","213","196",""
"Thomas Rolando","C1H","243.46","191","198",""
"Mathieu Dutendas","C1H","243.56","205","198",""
"Yoan Del Rey","C1H","245.49","-","207",""
"Philippe Quemerais","C1H","247.21","217","215",""
"Thibault Bigeon","C1H","248.20","208","219",""
"Guillaume Doutreix","C1H","249.05","243","222",""
"Dimitri Marino","C1H","249.65","187","225",""
"Romain Caillon","C1H","249.74","144","226",""
"Frederic Momot","C1H","251.63","169","233",""
"Teddy Poulard","C1H","253.42","256","241",""
"Paskal Cloarec","C1H","255.78","228","251",""
"Emmanuel Walczak","C1H","259.88","251","269",""
"Quentin Mannier","C1H","260.59","277","272",""
"Boris Nedelec","C1H","261.90","243","278",""
"Ronan Goualc'h","C1H","264.01","248","287",""
"Geoffroy Schwentzel","C1H","264.22","136","288",""
"Marc Anthoine Marchand","C1H","267.63","270","302",""
"Quentin Moreaux","C1H","268.46","257","306",""
"Olivier Gesbert","C1H","269.43","235","310",""
"Ludovic Roye","C1H","272.23","276","323",""
"Mathieu Eyrolle","C1H","298.16","253","434",""
"Armand Rakowski","C1H","301.28","219","448",""
"Maxime Cousin","C1H","301.42","247","448",""
"Antoine Giudicelli-Francois Giudicelli","C2H","270.76","215","263",""
"Boris Nedelec-Thibaud Couetil","C2H","275.37","262","282",""
"Stephane Broute-Xavier Jourdain","C2H","277.49","298","290",""
