"Sélectif Championnat National 2 Slalom - St Pierre De Boeuf - Finale - 2015-02-22","Finale","2015-02-22","Nationale 2","188"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anna Wider","C1D","117.9","216.67","177.77","Finale A"
"Claire Landrin","C1D","127.74","173.39","269.9","Finale A"
"Elise Pierron","C1D","143.41","353.93","416.61","Finale A"
"Emilie Delahaye","C1D","156.17","364.65","536.08","Finale A"
"Angele Hug","C1D","174.55","339.45","708.16","Finale A"
"Angelique Guilcher","C1D","Abs","-","-","Finale A"
"Yann Basille","C1H","105.91","167.98","207.17","Finale A"
"Martin Daviet","C1H","106.3","240.96","211.34","Finale A"
"Issam Chakir","C1H","107.68","247.53","226.1","Finale A"
"Nadjib Mazar","C1H","107.83","171.08","227.71","Finale A"
"Alexandre Dupas","C1H","108.05","207.26","230.07","Finale A"
"Benoit Chantry","C1H","108.38","229.57","233.6","Finale A"
"Galaad Pereyron","C1H","109.74","163.72","248.15","Finale A"
"Medhi Deguil","C1H","110.31","191.24","254.25","Finale A"
"Paul Tallet Pinet","C1H","111.1","207.85","262.71","Finale A"
"Joris Santoro","C1H","112.59","216.91","278.65","Finale A"
"Theo Roisin","C1H","112.94","248.76","282.39","Finale A"
"Frederic Momot","C1H","116.76","273.8","323.27","Finale A"
"Jonathan Delagnes","C1H","117.76","184.14","333.96","Finale A"
"Christopher Lucas","C1H","119.49","268.26","352.48","Finale A"
"Stephane Abadie","C1H","120.26","210.15","360.71","Finale A"
"Lukas Werro-Simon Werro","C2H","108.16","165.09","178.64","Finale A"
"Frank Adisson-Sandra Forgues","C2H","112.53","176.19","223.27","Finale A"
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","130.63","261.85","408.15","Finale A"
"Frederic Momot-Jean Philippe Winiarski","C2H","135.4","273.05","456.86","Finale A"
"Ronan Cordier-Julie Labarelle","C2M","140.78","289.87","391.99","Finale A"
"Emeline Oudet","K1D","107.98","134.2","147.52","Finale A"
"Marine Schmitt","K1D","109.75","137.94","165.12","Finale A"
"Marjorie Delassus","K1D","111.59","176.92","183.41","Finale A"
