"Championnat Régional du Centre - Châteauneuf sur cher - 2010-01-31","Course 1","2010-01-31","Régional","149"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Charly Chassigneux","C1H","97.90","36","95",""
"Yoann Hautecloche","C1H","106.50","212","189",""
"Henri Despont","C1H","111.95","265","250",""
"Jean-philippe Rome","C1H","112.98","313","262",""
"Boris Sacre","C1H","119.42","591","333",""
"Christophe Marechal","C1H","121.46","191","355",""
"Fabien Tournadre","C1H","123.23","267","374",""
"Paul Brier","C1H","128.05","-","428",""
"Nicolas Thomas","C1H","129.95","312","449",""
"Frederic Martin","C1H","136.28","-","519",""
"Jean Melaine Sion","C1H","144.51","-","609",""
"Camille Balsac","C1H","189.48","588","1106",""
"Remi Parayre","C1H","194.39","367","1161",""
"Paul Tallet Pinet","C1H","374.41","255","3148",""
"Jean Messialle","C1H","Nt","-","-",""
"Yoann Turowsky","C1H","Nt","-","-",""
"Bruno Bauge","C1H","Nt","-","-",""
"Martin Grezard","C1H","Nt","-","-",""
"Stephane Borde","C1H","Nt","-","-",""
"Jan Baudet","C1H","Nt","-","-",""
"Charly Chassigneux-Fabien Tournadre","C2H","112.09","200","196",""
"Antoine Roux-Gurgen Brun","C2H","122.99","264","310",""
"Riwan Guillermic-Alexandre Paulais","C2H","127.86","294","361",""
"Jerome Boudin-Pascal Roy","C2H","135.53","-","442",""
"Nicolas Thomas-Leo Xiberras","C2H","161.60","-","717",""
"Paul Jean-Adrien Picco","C2H","167.44","-","779",""
"Paul Brier-Paul Laidet","C2H","339.10","-","2588",""
"Paul Tallet Pinet-Jan Baudet","C2H","Nt","-","-",""
"Florian Plault-Lucas Martin","C2H","Nt","-","-",""
"Marc Brossard-Jean-philippe Rome","C2H","Nt","-","-",""
"Joffrey Lemeux-Aurelien Leroy","C2H","Nt","-","-",""
"Romain Bove-Flora Bove","C2M","140.93","-","399",""
"Charly Chassigneux-Camille Grezard","C2M","Nt","-","-",""
"Flora Bove","K1D","107.48","103","116",""
"Emilie Chamouleau","K1D","108.48","69","127",""
"Laurine Naveau","K1D","123.22","246","278",""
"Camille Gil","K1D","123.39","269","280",""
"Manon Prioux","K1D","126.16","333","308",""
"Helena Heysch De La Borde","K1D","131.59","333","364",""
"Charlene Tabourin","K1D","136.74","600","417",""
"Manon Moreau","K1D","158.96","1125","645",""
"Camille Grezard","K1D","178.49","212","845",""
"Emmanuelle Delrue","K1D","Nt","-","-",""
"Elise Turowsky","K1D","Nt","-","-",""
"Jessie Dallois","K1D","Nt","-","-",""
"Christophe Marechal","K1H","89.14","41","47",""
"Yoann Hautecloche","K1H","89.32","42","49",""
"Paul Brier","K1H","90.35","30","61",""
"Christophe Augu","K1H","91.75","26","78",""
"Louis Philippe Rigal","K1H","91.80","39","79",""
"Romain Bove","K1H","92.91","132","91",""
"Quentin Bove","K1H","93.86","24","102",""
"Boris Sacre","K1H","95.14","81","117",""
"Aurelien Leroy","K1H","96.45","42","133",""
"Fabien Tournadre","K1H","96.96","81","138",""
"Joffrey Lemeux","K1H","97.20","118","141",""
"Gurgen Brun","K1H","97.79","156","148",""
"Stephane Broute","K1H","98.06","152","151",""
"Charles Edouard Dherment","K1H","102.00","129","197",""
"Stephane Borde","K1H","102.41","-","202",""
"Emmanuel Moreau","K1H","102.60","177","204",""
"Charly Chassigneux","K1H","102.67","-","205",""
"Pierre Bontoux","K1H","102.87","111","207",""
"Antoine Dubost","K1H","104.69","208","228",""
