"Championnat RÈgional de Slalom - 22300 Lannion - Finale - 2019-12-15","Finale","2019-12-15","RÈgional","200"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Romane Regnier","C1D","117.47","338.28","201.96","Finale A"
"Claire Moal","C1D","123.72","355.17","265.96","Finale A"
"Eva Marchand","C1D","124.97","317.48","278.76","Finale A"
"Helene Raguenes","C1D","140.8","459.78","440.85","Finale A"
"L…na Quemerais","C1DM","134.06","522.94","371.84","Finale A"
"Yves Bourhis","C1H","95.84","121.42","120.67","Finale A"
"Valentin Marteil","C1H","96.16","80.64","124.41","Finale A"
"Jean Pierre Bourhis","C1H","96.76","153.78","131.43","Finale A"
"Nicolas Gestin","C1H","97.45","53.55","139.51","Finale A"
"Cedric Joly","C1H","99.18","37.25","159.75","Finale A"
"Gaspard Perrio","C1H","100.37","159.89","173.68","Finale A"
"Timothee Cornu","C1H","100.38","180.68","173.8","Finale A"
"Corentin Oulhen","C1H","100.51","102.23","175.32","Finale A"
"Mewen Debliquy","C1H","101.41","175.36","185.85","Finale A"
"Baptiste Le Poncin","C1H","102.06","181.93","193.46","Finale A"
"Glen Le Meur","C1H","104.04","216.69","216.63","Finale A"
"Gwenole Noyalet","C1H","106.49","297.31","245.3","Finale A"
"Hugo Regnier","C1H","107.94","299.53","262.27","Finale A"
"Luc Hellard","C1H","108.21","310.17","265.43","Finale A"
"Marin Salmon","C1H","108.84","368.15","272.8","Finale A"
"Matheo Lebaindre","C1H","109.67","292.1","282.52","Finale A"
"Julien Mizzi","C1H","110.23","237.56","289.07","Finale A"
"Medhi Deguil","C1H","111.53","387.88","304.28","Finale A"
"Mathis Poree","C1H","114.14","373.43","334.83","Finale A"
"Martin Cornu","C1HM","113.38","432.28","325.94","Finale A"
"Elouan Debliquy","C1HM","122.17","463.36","428.8","Finale A"
"Malik Mahe","C1HM","161.77","948.09","892.24","Finale A"
"Julien Rocaboy-Melaine Pichard","C2H","116.24","377.93","297.58","Finale A"
"Romane Regnier","K1D","109.18","258.31","186.33","Finale A"
"Claire Moal","K1D","110.78","238.9","203.72","Finale A"
"Anne Boixel","K1D","111.25","237.84","208.83","Finale A"
"Eva Marchand","K1D","113.37","254.97","231.88","Finale A"
"Morgane Quemerais","K1D","117.93","366.6","281.48","Finale A"
"Clara Grangeon","K1D","122.82","391.59","334.65","Finale A"
"Sylviane Quemerais","K1D","124.95","403.53","357.81","Finale A"
"Veronique Vourch","K1D","135.49","461.72","472.43","Finale A"
"Helene Raguenes","K1D","136.33","407.5","481.56","Finale A"
"Anais Bernardy","K1D","155.11","213.19","685.78","Finale A"
"Alice Azam","K1D","163.56","285.15","777.67","Finale A"
"Laurie Beaurepere","K1D","219.52","458.6","1386.2","Finale A"
"L…na Quemerais","K1DM","122.74","322.9","333.78","Finale A"
"Juna Marquet","K1DM","136.3","524.45","481.23","Finale A"
"Alwena Piton","K1DM","211.31","1081.22","1296.92","Finale A"
"Malo Quemeneur","K1H","89.5","15.82","98.84","Finale A"
"Pol Oulhen","K1H","90.76","35.71","114.32","Finale A"
"Arthur Mizzi","K1H","92.61","148.09","137.06","Finale A"
"Hugo Regnier","K1H","92.8","64.36","139.39","Finale A"
"Timothee Cornu","K1H","94.37","199.57","158.68","Finale A"
"Paul Gestin","K1H","95.25","171.48","169.5","Finale A"
"Joris Hello","K1H","95.49","165.45","172.45","Finale A"
