"Sélectif régional de slalom de Corbeil - Corbeil-Essonnes - 2006-11-12","Course 1","2006-11-12","Régional","191"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Alize Bachelot","C1D","311.17","-","1057",""
"Pierre Berthelot Kleck","C1H","184.44","90","184",""
"Kudla Romain","C1H","195.64","227","261",""
"Xavier Jourdain","C1H","196.46","281","267",""
"Jemaa Souleyk","C1H","196.68","410","269",""
"Geoffroy Schwentzel","C1H","198.98","242","285",""
"Thibault Bigeon","C1H","200.12","289","292",""
"Maxime Cousin","C1H","200.35","249","294",""
"Martin Darees","C1H","200.60","270","296",""
"Philippe Senechal","C1H","202.57","315","309",""
"Teddy Poulard","C1H","203.16","285","314",""
"Antoine Decambon","C1H","205.35","-","328",""
"Evence Granger","C1H","205.68","249","330",""
"Thibaud Kudla","C1H","206.10","328","334",""
"Jean-guillaume Desmoulin","C1H","206.30","245","335",""
"Olivier Gesbert","C1H","206.39","283","336",""
"Jerome Lacire","C1H","210.44","380","364",""
"Quentin Vallee","C1H","210.44","297","364",""
"Guillonet Jerome","C1H","210.57","-","364",""
"Alexandre Lismonde","C1H","210.91","453","366",""
"Jean Baptiste Lismonde","C1H","212.49","360","377",""
"William Ozanne","C1H","214.80","-","393",""
"Gilles Gaud","C1H","220.90","534","435",""
"Pierre Maillard","C1H","221.85","405","442",""
"Alexandre Diemert","C1H","224.82","460","462",""
"Paul Baldi","C1H","225.72","467","469",""
"Jacques Nardeau","C1H","229.60","563","496",""
"Collet Timothe","C1H","232.64","461","517",""
"Danilevski Cyril","C1H","237.25","647","548",""
"Deffebvre Pierre","C1H","241.22","-","575",""
"Paoletti Philippe","C1H","241.84","516","579",""
"Boudat Gautier","C1H","242.98","939","587",""
"Sertier Remi","C1H","251.44","-","646",""
"Domenger Paul","C1H","252.24","-","651",""
"Jonathan Matern","C1H","255.97","-","677",""
"Silvere Desongins","C1H","256.67","-","682",""
"Renoux Franck","C1H","280.01","-","843",""
"Odile Flavien","C1H","287.55","-","894",""
"Henry Théophile","C1H","298.71","1106","971",""
"Lino Ludovic","C1H","301.55","-","992",""
"Thibault Bigeon-Antoine Decambon","C2H","215.08","247","328",""
"Teddy Poulard-Jeremy Bretteville","C2H","222.46","292","376",""
"Jerome Lacire-Jerome Mailfait","C2H","228.13","552","414",""
"Guillaume Maraquin-Thibaud Kudla","C2H","232.48","-","442",""
"Boudat Gautier- Matern Jonathan","C2H","272.69","-","707",""
"Rigal Louis Philippe- Lesigne Agathe","C2M","231.38","-","435",""
"Lesigne Agathe","K1D","199.83","199","193",""
"Julie Paoletti","K1D","212.60","281","275",""
"Fiora Bourges","K1D","213.24","292","279",""
"Hubert Sandrine","K1D","214.85","236","289",""
"Vinzend Ingrid Thuy Vi","K1D","214.98","349","290",""
"Lea Feuillard","K1D","216.14","278","297",""
"Celia Jodar","K1D","221.36","361","330",""
"Rosalie Kempf","K1D","223.06","328","342",""
"Marion Gallois","K1D","223.80","494","346",""
"Cloe Hun","K1D","224.24","373","349",""
"Maud Thisse","K1D","225.03","403","354",""
"Marine Joslin","K1D","225.57","319","357",""
"Clara Dos Santos","K1D","227.68","561","371",""
"Clara Yang-ting","K1D","228.90","263","378",""
"Sophie Busson","K1D","230.62","414","390",""
"Alize Bachelot","K1D","233.64","434","410",""
"Charlotte Hay","K1D","234.82","387","416",""
"Adeline Gerardin","K1D","235.14","439","419",""
"Claire Chantry","K1D","250.68","798","518",""
"Marie-helene Bruyen","K1D","274.49","-","671",""
"Delecolle Audrey","K1D","278.86","835","699",""
"Kronousek Justine","K1D","281.29","-","715",""
"Amalia Mazzilli","K1D","282.59","885","722",""
"Dugast Marie-Alix","K1D","283.49","-","728",""
"Lucas Melanie","K1D","302.14","-","847",""
"Maitrot Mathilde","K1D","310.63","-","902",""
"Balmossiere Pauline","K1D","312.26","-","912",""
"Clementine Vuillermot-panthou","K1D","312.98","870","918",""
"Ottemer Abigail","K1D","342.66","-","1108",""
"Dorey Magalie","K1D","352.99","-","1174",""
"Sylvie Bourdon","K1D","395.88","-","1448",""
"Ronan Lucas","K1H","169.33","100","138",""
"Louis Philippe Rigal","K1H","170.72","80","148",""
"Gregory Busson","K1H","172.23","108","160",""
"Benoit Chantry","K1H","173.79","-","171",""
"Vincent Reiter","K1H","174.84","141","179",""
"De Berchen Sebastien","K1H","174.84","91","179",""
"Xavier Jourdain","K1H","175.24","102","181",""
"Jeremy Cremonesi","K1H","175.34","136","182",""
"Ciaran Heurteau","K1H","175.73","51","185",""
"Michel Gombert","K1H","176.64","127","191",""
"Brogniart Arnaud","K1H","178.08","127","202",""
"Philippe Daumont","K1H","178.70","158","206",""
"Loic Monbel","K1H","179.54","181","212",""
"Kudla Romain","K1H","179.76","147","214",""
"Coiffe Florion","K1H","179.76","165","214",""
"Le Berte Maxime","K1H","180.55","183","220",""
"Julien Daumont","K1H","180.85","139","222",""
"Florian Perenchio","K1H","180.85","192","222",""
"Yves Debailleul","K1H","183.66","286","242",""
"Samuel Lhegu","K1H","183.97","206","244",""
"Guillaume Maraquin","K1H","184.34","267","247",""
"Gilles Flores","K1H","184.64","217","249",""
"Bastien Darcillon","K1H","188.32","271","276",""
"Guillaume Arnaud","K1H","188.90","-","280",""
"Adel Faycal","K1H","188.95","304","280",""
"Geoffroy Schwentzel","K1H","190.42","304","291",""
"Julien Signarbieux","K1H","191.39","352","298",""
"Romain Content","K1H","192.18","287","304",""
"Bonnin Sylvain","K1H","192.35","283","305",""
"Jodar Sebastien","K1H","192.96","252","309",""
"Alban Planchais","K1H","193.16","-","310",""
"Paul Poulet","K1H","193.94","257","317",""
"Renard Guillaume","K1H","194.43","420","320",""
"Flavien Odile","K1H","195.92","410","330",""
"Thomas Monvoisin","K1H","196.35","286","334",""
"Leclerc Jerome","K1H","196.88","336","338",""
"Julien Darees","K1H","197.17","-","339",""
"Philippe Valeri","K1H","197.38","331","342",""
"Maxime Cousin","K1H","197.75","-","344",""
"Roberge Sebastien","K1H","198.36","408","348",""
"Jerome Trousson","K1H","198.85","333","352",""
"Valentin Casse","K1H","198.93","333","353",""
"Viratelle Vincent","K1H","199.01","333","353",""
"Nicolas Feuillard","K1H","199.47","399","356",""
"Jemaa Souleyk","K1H","199.60","-","357",""
"Lismonde Jean Batiste","K1H","200.37","334","363",""
"Maignan Adrien","K1H","202.50","-","378",""
"Dutois Pierre","K1H","203.52","426","386",""
"Backscheider Adrien","K1H","204.57","-","393",""
"Alexandre Peslin","K1H","204.81","404","395",""
"Jerome Mailfait","K1H","204.81","388","395",""
"Gerard Lafargue","K1H","205.87","415","403",""
"Salinie Sylvain","K1H","206.34","433","406",""
"Thomas Viratelle","K1H","206.93","401","411",""
"Kraemer Nicolas","K1H","207.30","486","413",""
"Imbert Louis","K1H","207.43","-","414",""
"Remy Daumont","K1H","207.99","393","419",""
"Domenger Paul","K1H","210.51","502","437",""
"Briois Vianney","K1H","211.24","-","442",""
"Stephane Helle","K1H","212.14","-","448",""
"Zawadzki Wilfried","K1H","212.72","507","452",""
"Gaspard Vivien","K1H","212.83","584","453",""
"Lebar Johnny","K1H","213.83","423","460",""
"Ludovic Lino","K1H","213.96","478","461",""
"Silvere Desongins","K1H","214.56","706","466",""
"Jeremy Huguenin","K1H","215.10","490","470",""
"Coudiere Sebastien","K1H","215.46","-","472",""
"Beranger Doulle","K1H","215.72","-","474",""
"Etienne Carpentier","K1H","216.13","647","477",""
"Sebastien Dupont","K1H","216.66","-","481",""
"Romain Lemaire","K1H","217.00","490","483",""
"Jean-loup Bachmann","K1H","217.26","-","486",""
"Romain Faurie","K1H","217.66","781","488",""
"Nicolas Girault","K1H","220.57","-","509",""
"Denis Parizia","K1H","221.87","514","519",""
"Deffebvre Pierre","K1H","222.26","556","521",""
"Romaric Baron","K1H","222.89","625","526",""
"Louchez Benoit","K1H","223.84","-","533",""
"Bellacicco Denis","K1H","223.95","498","534",""
"Monbel Romain","K1H","225.04","481","541",""
"Coudiere Julien","K1H","227.82","470","562",""
"Paul Bornier","K1H","229.42","1263","573",""
"Dalle Alexandre","K1H","229.56","-","574",""
"Louis Piot","K1H","229.70","867","575",""
"Alexandre Julien","K1H","230.81","-","583",""
"Henriot Thomas","K1H","232.03","510","592",""
"Marcille Antoine","K1H","232.07","-","593",""
"Logan Nannette","K1H","233.40","591","602",""
"Masson Cedric","K1H","234.10","-","607",""
"Sergepatrick Viseur","K1H","234.87","553","613",""
"Jean Bernard Lacave","K1H","235.88","-","620",""
"Ernou Gregoire","K1H","236.00","628","621",""
"Benko Morgan","K1H","236.99","636","627",""
"Patrick Hun","K1H","238.71","-","641",""
"Henry Théophile","K1H","239.92","576","649",""
"Kevin Pantofel","K1H","240.12","836","651",""
"Dabo Regis","K1H","243.09","853","672",""
"Gerard Cartier","K1H","243.83","832","678",""
"Kronovsek Patrick","K1H","245.34","1032","689",""
"Guillaume Doutreix","K1H","248.29","276","710",""
"Laurent Ernou","K1H","248.74","750","713",""
"De Wever Lucas","K1H","249.95","-","721",""
"Claude Breuzard","K1H","253.92","820","750",""
"Thomas Van Craenenbroeck","K1H","259.11","-","788",""
"Rome Yvan","K1H","263.48","1401","820",""
"Sylvain Pionnier","K1H","263.62","-","821",""
